Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,jared maurice arter,32,0.537878787878788,16,0.3128654970760234,0.0,0.0
instance of,person,maurice,"arter, ""jared maurice arter"")",33,0.5616883116883117,11,0.3007662835249042,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,arter,27,0.49242424242424243,36,0.41111111111111115,0.0,0.0
instance of,person,maurice,"arter, ""arter"")",33,0.5616883116883117,19,0.32222222222222224,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,jared,40,0.5692640692640693,18,0.41111111111111115,0.0,0.0
instance of,person,maurice,"arter, ""jared"").",33,0.5616883116883117,18,0.3194444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,maurice,"arter, ""male"").",33,0.5616883116883117,19,0.32222222222222224,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,writer,24,0.38311688311688313,33,0.4444444444444444,0.0,0.0
instance of,person,has_occupation,christian missionary,24,0.38311688311688313,31,0.5499999999999999,0.0,0.0
instance of,person,has_occupation,academic,24,0.38311688311688313,14,0.4305555555555555,0.0,0.0
instance of,person,maurice,"arter, ""slave, writer, christian missionary, academic"").",33,0.5616883116883117,16,0.49603174603174605,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,80,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,maurice,"arter, 80)",33,0.5616883116883117,25,0.3444444444444444,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,january 27,33,0.5463869463869464,12,0.3444444444444444,0.0,0.0
instance of,person,has_birthdate,1850,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,maurice,"arter, ""january 27, 1850"")",33,0.5616883116883117,19,0.42735042735042733,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,1930,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,maurice,"arter, ""1930"").",33,0.5616883116883117,19,0.32222222222222224,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,writer,29,0.449554367201426,33,0.4444444444444444,0.0,0.0
instance of,person,has_person_status,christian missionary,29,0.449554367201426,31,0.5499999999999999,0.0,0.0
instance of,person,has_person_status,academic,29,0.449554367201426,14,0.4305555555555555,0.0,0.0
instance of,person,maurice,"arter, ""enslaved person, writer, christian missionary, academic"")",33,0.5616883116883117,17,0.5863247863247864,0.0,0.2789425453258252
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,emancipation proclamation of 1863,26,0.4799102132435466,21,0.5282828282828284,0.0,0.0
instance of,person,has_status_generating_event,emancipation,26,0.4799102132435466,33,0.5,0.0,0.0
instance of,person,has_status_generating_event,emancipation,26,0.4799102132435466,33,0.5,0.0,0.0
instance of,person,has_status_generating_event,emancipation,26,0.4799102132435466,33,0.5,0.0,0.0
instance of,person,proclamation of,"1863""), has_status_generating_event(writer, ""emancipation""), has_status_generating_event(christian missionary, ""emancipation""), has_status_generating_event(academic, ""emancipation"")",38,0.6057720057720059,6,0.5666052793124616,0.33609692727625756,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
