Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,mary hemings bell,32,0.537878787878788,17,0.4477124183006536,0.0,0.0
instance of,person,hemings,"bell, ""mary hemings bell"")",33,0.5670995670995671,19,0.5384615384615384,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,bell,27,0.49242424242424243,20,0.47222222222222215,0.0,0.0
instance of,person,hemings,"bell, ""bell"")",33,0.5670995670995671,11,0.41452991452991456,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,mary,40,0.5692640692640693,20,0.47222222222222215,0.0,0.0
instance of,person,hemings,"bell, ""mary"").",33,0.5670995670995671,20,0.41269841269841273,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,common-law husband,30,0.5269480519480519,17,0.48148148148148145,0.0,0.0
instance of,person,hemings,"bell, ""common-law husband"")",33,0.5670995670995671,18,0.5370370370370371,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,thomas bell,34,0.5798460798460798,12,0.3383838383838384,0.0,0.0
instance of,person,hemings,"bell, ""thomas bell"").",33,0.5670995670995671,15,0.43650793650793646,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,hemings,"bell, ""female"").",33,0.5670995670995671,9,0.40972222222222227,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,hemings,"bell, ""slave"").",33,0.5670995670995671,19,0.48888888888888893,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,not mentioned,33,0.45598845598845594,32,0.46581196581196577,0.0,0.0
instance of,person,hemings,"bell, ""not mentioned"")",33,0.5670995670995671,21,0.4343434343434343,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1753,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,hemings,"bell, ""1753"")",33,0.5670995670995671,11,0.41452991452991456,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,not mentioned,33,0.39044289044289043,32,0.46581196581196577,0.0,0.0
instance of,person,hemings,"bell, ""not mentioned"").",33,0.5670995670995671,21,0.4323671497584541,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,mixed race,36,0.5162210338680927,25,0.5111111111111111,0.0,0.0
instance of,person,hemings,"bell, ""mixed race"").",33,0.5670995670995671,15,0.4055555555555556,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,free person,29,0.449554367201426,71,0.3383838383838384,0.0,0.5797386715376658
instance of,person,hemings,"bell, ""enslaved person, free person"")",33,0.5670995670995671,28,0.5540540540540541,0.0,0.6348087971775132
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,purchased and informally freed by thomas bell,26,0.4799102132435466,16,0.6,0.0,0.0
instance of,person,has_status_generating_event,purchased and informally freed by thomas bell,26,0.4799102132435466,16,0.6,0.0,0.0
