Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,patrick francis healy,32,0.537878787878788,22,0.5476190476190476,0.0,0.0
instance of,person,francis,"healy, ""patrick francis healy"")",33,0.4783549783549783,16,0.5152329749103942,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,healy,27,0.49242424242424243,18,0.45555555555555555,0.0,0.0
instance of,person,francis,"healy, ""healy"")",33,0.4783549783549783,10,0.41111111111111115,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,patrick,40,0.5692640692640693,31,0.5396825396825397,0.0,0.0
instance of,person,francis,"healy, ""patrick"").",33,0.4783549783549783,17,0.3148148148148148,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,information provided in the text,file.,28,0.5886994949494949,18,0.45555555555555555,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,president of georgetown university,32,0.5668831168831169,25,0.6143790849673203,0.0,0.0
instance of,person,francis,"healy, ""president of georgetown university"").",33,0.4783549783549783,20,0.6,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,francis,"healy, ""male"").",33,0.4783549783549783,10,0.41111111111111115,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,catholic priest,24,0.38311688311688313,29,0.41111111111111115,0.0,0.0
instance of,person,has_occupation,jesuit,24,0.38311688311688313,33,0.5555555555555555,0.0,0.0
instance of,person,has_occupation,educator,24,0.38311688311688313,29,0.5277777777777778,0.0,0.0
instance of,person,has_occupation,university president,24,0.38311688311688313,31,0.45555555555555555,0.0,0.0
instance of,person,francis,"healy, ""catholic priest, jesuit, educator, university president"").",33,0.4783549783549783,14,0.503030303030303,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,75,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,francis,"healy, 75)",33,0.4783549783549783,12,0.4222222222222222,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,february 27,33,0.5463869463869464,24,0.5050505050505051,0.0,0.0
instance of,person,has_birthdate,1834,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,francis,"healy, ""february 27, 1834"")",33,0.4783549783549783,12,0.46913580246913583,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,january 10,33,0.39044289044289043,12,0.3444444444444444,0.0,0.0
instance of,person,has_deathdate,1910,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,francis,"healy, ""january 10, 1910"").",33,0.4783549783549783,12,0.4259259259259259,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,biracial,36,0.5162210338680927,14,0.4305555555555555,0.0,0.0
instance of,person,francis,"healy, ""biracial"").",33,0.4783549783549783,16,0.4795321637426901,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,information provided in the text,file.,28,0.5886994949494949,18,0.45555555555555555,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,owned by father,29,0.449554367201426,19,0.45555555555555555,0.0,0.0
instance of,person,has_person_status,president of georgetown university,29,0.449554367201426,25,0.6143790849673203,0.0,0.0
