Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,primus hall,32,0.537878787878788,35,0.5909090909090909,0.0,0.0
instance of,person,has_surname,hall,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,has_first_name,primus,40,0.5692640692640693,50,0.6666666666666666,0.0,0.0
instance of,person,has_alternate_name,primus trask,34,0.5107744107744108,33,0.5833333333333334,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,owner,30,0.5269480519480519,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,ezra trask,34,0.5798460798460798,38,0.5111111111111111,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,revolutionary war soldier in the 5th massachusetts regiment,32,0.5668831168831169,15,0.5060263653483993,0.0,0.0
instance of,person,war soldier in the 5th massachusetts,"regiment"")",26,0.5248316498316498,25,0.48888888888888893,0.0,0.0
instance of,person,has_participant_role,steward for quartermaster general timothy pickering,32,0.5668831168831169,18,0.577124183006536,0.0,0.0
instance of,person,for quartermaster general timothy,"pickering"")",27,0.4898989898989899,47,0.6767676767676768,0.0,0.0
instance of,person,role_provided_by,revolutionary war,15,0.4356060606060606,26,0.5506535947712418,0.0,0.0
instance of,person,war soldier in the 5th massachusetts,"regiment, ""revolutionary war"")",26,0.5248316498316498,22,0.4333333333333333,0.0,0.0
instance of,person,role_provided_by,quartermaster general timothy pickering,15,0.4356060606060606,22,0.5064102564102564,0.0,0.0
instance of,person,for quartermaster general timothy,"pickering, ""quartermaster general timothy pickering"")",27,0.4898989898989899,20,0.5758909853249476,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
