Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,quamina gladstone,32,0.537878787878788,26,0.40849673202614384,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,gladstone,27,0.49242424242424243,40,0.611111111111111,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,quamina,40,0.5692640692640693,15,0.4365079365079365,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,enslaver or owner,30,0.5269480519480519,35,0.642483660130719,0.0,0.0
instance of,person,or,"owner"")",15,0.0,31,0.5396825396825397,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,sir john gladstone,34,0.5798460798460798,33,0.5462962962962963,0.0,0.0
instance of,person,is_relationship_to,jack gladstone,34,0.5798460798460798,30,0.41269841269841273,0.0,0.0
instance of,person,john,"gladstone""), is_relationship_to(quamina gladstone, ""jack gladstone"").",13,0.44696969696969696,13,0.5289855072463768,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,participant in the demerara rebellion of 1823,32,0.5668831168831169,20,0.5018518518518519,0.0,0.0
instance of,person,in the demerara rebellion of,"1823"").",41,0.5310245310245311,0,0.0,0.19431434016858148,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,carpenter,24,0.38311688311688313,40,0.6203703703703703,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,45,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1778,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,september 16,33,0.39044289044289043,33,0.47222222222222215,0.0,0.0
instance of,person,has_deathdate,1823,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,akan ethnic group from modern-day ghana,36,0.5162210338680927,18,0.5871794871794872,0.0,0.0
instance of,person,ethnic group from,"modern-day ghana"").",43,0.6492869875222816,24,0.5423976608187134,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,national hero,29,0.449554367201426,32,0.32905982905982906,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,demerara rebellion of 1823,26,0.4799102132435466,25,0.6068376068376068,0.0,0.0
instance of,person,has_status_generating_event,demerara rebellion of 1823 and subsequent death,26,0.4799102132435466,15,0.5839243498817966,0.0,0.0
instance of,person,rebellion of,"1823""), has_status_generating_event(national hero, ""demerara rebellion of 1823 and subsequent death"").",43,0.4904040404040404,7,0.49411764705882355,0.33609692727625756,0.0
hasname,quamina,record,module:,15,0.0,14,0.42857142857142855,0.0,0.0
