Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,horace jeremiah 'jerry' voorhis,32,0.537878787878788,16,0.4211469534050179,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""horace jeremiah 'jerry' voorhis"")",21,0.3106060606060606,15,0.4994331065759637,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,voorhis,27,0.49242424242424243,31,0.373015873015873,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""voorhis"")",21,0.3106060606060606,26,0.5255555555555556,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,horace,40,0.5692640692640693,17,0.4444444444444444,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""horace"")",21,0.3106060606060606,27,0.5277777777777778,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,jerry,34,0.5107744107744108,36,0.5777777777777778,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""jerry"").",21,0.3106060606060606,20,0.5277777777777778,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,political opponent,30,0.5269480519480519,25,0.48148148148148145,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""political opponent"")",21,0.3106060606060606,24,0.5240740740740741,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,richard m. nixon,34,0.5798460798460798,27,0.4861111111111111,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""richard m. nixon"").",21,0.3106060606060606,24,0.5103174603174603,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,politician,32,0.5668831168831169,38,0.6,0.0,0.0
instance of,person,has_participant_role,educator,32,0.5668831168831169,29,0.5277777777777778,0.0,0.0
instance of,person,has_participant_role,executive in the cooperative movement,32,0.5668831168831169,23,0.41591591591591587,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""politician""), has_participant_role(horace jeremiah ""jerry"" voorhis, ""educator""), has_participant_role(horace jeremiah ""jerry"" voorhis, ""executive in the cooperative movement"").",21,0.3106060606060606,6,0.5659722222222222,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""male"").",21,0.3106060606060606,21,0.5301932367149759,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,democratic politician,24,0.38311688311688313,30,0.43650793650793646,0.0,0.0
instance of,person,has_occupation,educator,24,0.38311688311688313,29,0.5277777777777778,0.0,0.0
instance of,person,has_occupation,executive in the cooperative movement,24,0.38311688311688313,23,0.41591591591591587,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, ""democratic politician""), has_occupation(horace jeremiah ""jerry"" voorhis, ""educator""), has_occupation(horace jeremiah ""jerry"" voorhis, ""executive in the cooperative movement"").",21,0.3106060606060606,6,0.5660267597440373,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,83,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,jeremiah,"jerry voorhis, 83)",21,0.3106060606060606,25,0.5555555555555555,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
