Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,scott winfield bond,32,0.537878787878788,24,0.5526315789473685,0.0,0.0
instance of,person,winfield,"bond, ""scott winfield bond"")",32,0.5492424242424242,18,0.4246031746031746,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,bond,27,0.49242424242424243,40,0.0,0.0,0.0
instance of,person,winfield,"bond, ""bond"")",32,0.5492424242424242,21,0.49572649572649574,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,scott,40,0.5692640692640693,36,0.45555555555555555,0.0,0.0
instance of,person,winfield,"bond, ""scott"")",32,0.5492424242424242,20,0.4603174603174603,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,black rockefeller,34,0.5107744107744108,17,0.48366013071895425,0.0,0.0
instance of,person,winfield,"bond, ""black rockefeller"")",32,0.5492424242424242,12,0.42735042735042733,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,employer,30,0.5269480519480519,43,0.5138888888888888,0.0,0.0
instance of,person,winfield,"bond, ""employer"")",32,0.5492424242424242,26,0.4477124183006536,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,daniel rudd,34,0.5798460798460798,24,0.3383838383838384,0.0,0.0
instance of,person,winfield,"bond, ""daniel rudd"")",32,0.5492424242424242,15,0.4777777777777778,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,winfield,"bond, ""male"")",32,0.5492424242424242,21,0.49572649572649574,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,businessman,24,0.38311688311688313,35,0.47979797979797983,0.0,0.0
instance of,person,has_occupation,agricultural real estate worker,24,0.38311688311688313,16,0.2992831541218638,0.0,0.0
instance of,person,has_occupation,merchant,24,0.38311688311688313,43,0.625,0.0,0.0
instance of,person,has_occupation,factory producer,24,0.38311688311688313,27,0.3194444444444444,0.0,0.0
instance of,person,winfield,"bond, ""businessman, agricultural real estate worker, merchant, factory producer"")",32,0.5492424242424242,11,0.4983539094650206,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,81,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,winfield,"bond, 81)",32,0.5492424242424242,27,0.5185185185185185,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,march 15,33,0.5463869463869464,14,0.4305555555555555,0.0,0.0
instance of,person,has_birthdate,1852,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,winfield,"bond, ""march 15, 1852"")",32,0.5492424242424242,14,0.4323671497584541,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,march 24,33,0.39044289044289043,14,0.4305555555555555,0.0,0.0
instance of,person,has_deathdate,1933,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,winfield,"bond, ""march 24, 1933"")",32,0.5492424242424242,14,0.4323671497584541,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
