TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Abraham Hankins Galloway,hasDescription,Enslaved. Free before 13th Amendment. An escaped slave and abolitionist who served as a Union spy. One of the first three black senators in the North Carolina General Assembly.,46,47,0.650995670995671,0.0,43,50,0.6450674593386382,0.2078912601754614
Abraham Hankins Galloway,hasDescriptiveOccupation,Abolitionist,45,50,0.6305555555555555,0.0,23,31,0.5458818958818958,0.0
Abraham Hankins Galloway,hasDescriptiveOccupation,Fugitive Slave,45,50,0.6305555555555555,0.0,31,53,0.5042328042328043,0.1757860783933462
Abraham Hankins Galloway,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,20,100,0.5489096573208722,0.3032160644503863
Abraham Hankins Galloway,hasDescriptiveOccupation,Spy,45,50,0.6305555555555555,0.0,11,10,0.5658119658119658,0.0
Abraham Hankins Galloway,hasDescriptiveOccupation,State Legislator,45,50,0.6305555555555555,0.0,29,48,0.5387634708286883,0.161713780662529
Abraham Hankins Galloway,hasFirstName,Abraham Hankins,63,71,0.7983091787439612,0.0,41,64,0.5692201518288474,0.368023208756115
Abraham Hankins Galloway,hasName,Abraham Hankins Galloway,58,61,0.8039215686274509,0.0,61,80,0.7182539682539683,0.6351986941675815
Abraham Hankins Galloway,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,10,13,0.5522012578616352,0.0
Abraham Hankins Galloway,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,27,57,0.5529914529914529,0.161713780662529
Abraham Hankins Galloway,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6008771929824561,0.3799783615910079
Abraham Hankins Galloway,hasSurname,Galloway,65,67,0.8253968253968255,0.0,37,100,0.6377551020408163,0.6348087971775132
Abraham Hankins Galloway,instance of,Person,36,41,0.5774410774410774,0.0,18,100,0.5863247863247864,0.2789425453258252
