TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Absalom Jones,hasDescription,"Enslaved. Free before 13th Amendment. The first black person to become an Episcopal priest, Jones was also an organizer of the Free Africa Society (in Philadelphia), an abolitionist, and ultimately an opponent of the American Colonization Society.",69,69,0.7686387686387687,0.0,0,0,0.0,0.0
Absalom Jones,hasDescriptiveOccupation,Episcopalian Clergy,52,52,0.6666666666666666,0.0,0,0,0.0,0.0
Absalom Jones,hasDescriptiveOccupation,Slave,52,52,0.6666666666666666,0.0,0,0,0.0,0.0
Absalom Jones,hasFirstName,Absalom,27,40,0.5111111111111111,0.0,0,0,0.0,0.0
Absalom Jones,hasName,Absalom Jones,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
Absalom Jones,hasParticipantRole,Child,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Absalom Jones,hasParticipantRole,Deceased Person,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Absalom Jones,hasSex,Male,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Absalom Jones,hasSurname,Jones,29,36,0.5102292768959436,0.0,0,0,0.0,0.0
Absalom Jones,instance of,Person,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
