TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Albery Allson Whitman,hasDescription,"Enslaved. Free before 13th Amendment. An AME minister and poet whose work gradually became more controversial, notably with The Rape of Florida.",46,47,0.650995670995671,0.0,35,59,0.6674403183023871,0.1707306269342721
Albery Allson Whitman,hasDescriptiveOccupation,African Methodist Episcopal Clergy,45,50,0.6305555555555555,0.0,35,54,0.5661168170972092,0.1152155433779312
Albery Allson Whitman,hasDescriptiveOccupation,Poet,45,50,0.6305555555555555,0.0,12,100,0.602112676056338,0.2789425453258252
Albery Allson Whitman,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,19,21,0.5524904214559387,0.0
Albery Allson Whitman,hasFirstName,Albery Allson,63,71,0.7983091787439612,0.0,52,100,0.6555786555786556,0.6689625304957969
Albery Allson Whitman,hasName,Albery Allson Whitman,58,61,0.8039215686274509,0.0,72,100,0.7288717288717289,0.9266368211041917
Albery Allson Whitman,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,12,0.5529411764705882,0.0
Albery Allson Whitman,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,31,29,0.5573815073815074,0.0
Albery Allson Whitman,hasSex,Male,80,100,0.8888888888888888,1.0,20,100,0.5974178403755869,0.335175743327926
Albery Allson Whitman,hasSurname,Whitman,65,67,0.8253968253968255,0.0,32,100,0.5695611577964519,0.6569729210330907
Albery Allson Whitman,instance of,Person,36,41,0.5774410774410774,0.0,23,26,0.5894894894894895,0.0
