TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Amanda America Dickson,hasAlternateName,Toomer Eubanks,52,54,0.6569741532976826,0.0,27,29,0.488961038961039,0.0
Amanda America Dickson,hasDescription,"Enslaved. Inherited a large fortune from her father, and the Georgia Supreme Court upheld the will provision making Amanda Dickson sole administrator of the estate.",90,100,0.9411764705882352,1.0,40,60,0.7136874068305269,0.2442892270438636
Amanda America Dickson,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,17,21,0.5512544802867384,0.0
Amanda America Dickson,hasFirstName,Amanda America,63,71,0.7983091787439612,0.0,50,63,0.6349206349206349,0.368023208756115
Amanda America Dickson,hasName,Amanda America Dickson,58,61,0.8039215686274509,0.0,47,61,0.6316548948127896,0.2853061909813608
Amanda America Dickson,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,17,0.556060606060606,0.0
Amanda America Dickson,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,35,57,0.5739952718676123,0.1757860783933462
Amanda America Dickson,hasSex,Female,80,100,0.8888888888888888,1.0,33,100,0.5990338164251208,0.3799783615910079
Amanda America Dickson,hasSurname,Dickson,65,67,0.8253968253968255,0.0,16,21,0.569063094132732,0.0
Amanda America Dickson,instance of,Person,36,41,0.5989057239057239,0.0,23,100,0.5990338164251208,0.3032160644503863
