TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Anthony Burns,hasDescription,"Enslaved. Free before 13th Amendment. The subject of the most widely publicized fugitive slave case, Burns eventually became a Baptist clergyman in Ontario.",90,100,0.9411764705882352,1.0,40,69,0.6796437784865944,0.2700270186290369
Anthony Burns,hasDescriptiveOccupation,Baptist Clergy,68,70,0.8022875816993463,0.0,35,67,0.5686564897091213,0.1943143401685814
Anthony Burns,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,18,100,0.5375,0.2596979932401624
Anthony Burns,hasFirstName,Anthony,63,71,0.7983091787439612,0.0,39,100,0.6518883415435139,0.6348087971775132
Anthony Burns,hasName,Anthony Burns,58,61,0.8039215686274509,0.0,62,100,0.6622458001768347,0.8955324150715727
Anthony Burns,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,13,15,0.6033333333333334,0.0
Anthony Burns,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,27,28,0.5728049728049728,0.0
Anthony Burns,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6077235772357724,0.3799783615910079
Anthony Burns,hasSurname,Burns,65,67,0.8253968253968255,0.0,29,100,0.5739837398373985,0.6348087971775132
Anthony Burns,instance of,Person,36,41,0.5989057239057239,0.0,20,19,0.591919191919192,0.0
