TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Charlotte Dupuy,hasDescription,Enslaved. Also known as Lotty.,90,100,0.9411764705882352,1.0,31,48,0.5342411456335507,0.1123427789154277
Charlotte Dupuy,hasDescriptiveOccupation,Litigant,68,70,0.8022875816993463,0.0,20,32,0.5737870619946092,0.0
Charlotte Dupuy,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,21,23,0.5486238532110091,0.0
Charlotte Dupuy,hasFirstName,Charlotte,63,71,0.7983091787439612,0.0,43,100,0.6094276094276094,0.6348087971775132
Charlotte Dupuy,hasName,Charlotte Dupuy,58,61,0.8039215686274509,0.0,62,100,0.7292929292929293,0.8955324150715727
Charlotte Dupuy,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,24,0.6078616352201258,0.0
Charlotte Dupuy,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,27,36,0.5296296296296296,0.0
Charlotte Dupuy,hasSex,Female,80,100,0.8888888888888888,1.0,31,100,0.5802469135802468,0.3799783615910079
Charlotte Dupuy,hasSurname,Dupuy,65,67,0.8253968253968255,0.0,26,100,0.7037037037037037,0.6348087971775132
Charlotte Dupuy,instance of,Person,36,41,0.5989057239057239,0.0,16,22,0.5900383141762452,0.0
