TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Clement Garnett Morgan,hasDescription,"Enslaved. Passed the bar in 1893, held several elected roles in Cambridge, MA. Became involved in the Niagara Movement (and was caught up in the subsequent split), and then in 1910 joined the newly-formed NAACP.",90,100,0.9411764705882352,1.0,45,48,0.6895537289775254,0.2118655786250501
Clement Garnett Morgan,hasDescriptiveOccupation,Civil Rights Activist,68,70,0.8022875816993463,0.0,41,100,0.5481755710414247,0.4222338852871373
Clement Garnett Morgan,hasDescriptiveOccupation,Lawyer,68,70,0.8022875816993463,0.0,14,20,0.5263157894736842,0.0
Clement Garnett Morgan,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,19,15,0.5463541666666667,0.0
Clement Garnett Morgan,hasFirstName,Clement Garnett,63,71,0.7983091787439612,0.0,57,100,0.6649122807017545,0.6689625304957969
Clement Garnett Morgan,hasName,Clement Garnett Morgan,58,61,0.8039215686274509,0.0,73,100,0.7232854864433812,0.9266368211041917
Clement Garnett Morgan,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,12,18,0.6062656641604011,0.0
Clement Garnett Morgan,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,27,57,0.5544626593806922,0.1216033147861901
Clement Garnett Morgan,hasSex,Male,80,100,0.8888888888888888,1.0,19,100,0.6089743589743589,0.335175743327926
Clement Garnett Morgan,hasSurname,Morgan,65,67,0.8253968253968255,0.0,27,100,0.594017094017094,0.5797386715376658
Clement Garnett Morgan,instance of,Person,36,41,0.5989057239057239,0.0,18,100,0.5906432748538011,0.2097553962782169
