TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Decatur Dorsey,hasDescription,"Born Enslaved. Recommended for promotion to the rank of commissioned officer, but denied on account of his race. Nonetheless received the Medal of Honor for his service in the Civil War.",46,47,0.650995670995671,0.0,36,46,0.6214820048134649,0.2346364378001148
Decatur Dorsey,hasDescriptiveOccupation,Medal of Honor Recipient,45,50,0.6305555555555555,0.0,28,38,0.5895667198298777,0.0876868198014244
Decatur Dorsey,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,17,20,0.5468834688346883,0.0
Decatur Dorsey,hasDescriptiveOccupation,Soldier,45,50,0.6305555555555555,0.0,25,100,0.5903987611304684,0.3799783615910079
Decatur Dorsey,hasDescriptiveOccupation,War Hero,45,50,0.6305555555555555,0.0,24,55,0.5742894056847545,0.1414305679255449
Decatur Dorsey,hasFirstName,Decatur,63,71,0.7983091787439612,0.0,38,100,0.6968253968253969,0.6348087971775132
Decatur Dorsey,hasName,Decatur Dorsey,58,61,0.8039215686274509,0.0,64,100,0.6793650793650793,0.8955324150715727
Decatur Dorsey,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,20,0.5537414965986395,0.0
Decatur Dorsey,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,44,57,0.6075757575757575,0.1757860783933462
Decatur Dorsey,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6037414965986394,0.3799783615910079
Decatur Dorsey,hasSurname,Dorsey,65,67,0.8253968253968255,0.0,33,100,0.6010101010101009,0.6348087971775132
Decatur Dorsey,instance of,Person,36,41,0.5774410774410774,0.0,22,100,0.5963718820861678,0.3032160644503863
