TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Denmark Vesey,hasDescription,"Enslaved. Free before 13th Amendment. Likely born on the Caribbean sugar island of Saint Thomas, Denmark Vesey also experienced slavery in the U.S. before gaining his freedom. In 1822 Vesey planned an uprising but was caught and hanged with five followers.",90,100,0.9411764705882352,1.0,39,77,0.7030412396850574,0.3006797229019703
Denmark Vesey,hasDescriptiveOccupation,Abolitionist,68,70,0.8022875816993463,0.0,24,29,0.6050505050505051,0.0
Denmark Vesey,hasDescriptiveOccupation,Carpenter,68,70,0.8022875816993463,0.0,29,100,0.6435185185185185,0.3032160644503863
Denmark Vesey,hasDescriptiveOccupation,Sailor (Trading Vessel),68,70,0.8022875816993463,0.0,38,48,0.5901474701245869,0.0
Denmark Vesey,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,18,100,0.5381642512077295,0.1534255354252165
Denmark Vesey,hasDescriptiveOccupation,Slave Revolt Leader,68,70,0.8022875816993463,0.0,38,100,0.5234761583445794,0.1556985173986901
Denmark Vesey,hasFirstName,Denmark,63,71,0.7983091787439612,0.0,39,100,0.6518883415435139,0.6348087971775132
Denmark Vesey,hasName,Denmark Vesey,58,61,0.8039215686274509,0.0,62,100,0.6878868258178604,0.8955324150715727
Denmark Vesey,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,17,0.6038647342995169,0.0
Denmark Vesey,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,41,57,0.594920634920635,0.1757860783933462
Denmark Vesey,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6041666666666666,0.3799783615910079
Denmark Vesey,hasSurname,Vesey,65,67,0.8253968253968255,0.0,29,100,0.6387596899224807,0.6348087971775132
Denmark Vesey,instance of,Person,36,41,0.5989057239057239,0.0,22,100,0.5972222222222222,0.3032160644503863
