TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Elizabeth Taylor Greenfield,hasDescription,"Born Enslaved. Free before 13th Amendment. A talented singer; nicknamed ""the Black Swan."" Toured widely in the North and in England. The Black Swan at Home and Abroad was published about her in 1856. https://archive.org/details/blackswanathomea00phil/page/n3.",90,100,0.9411764705882352,1.0,49,57,0.6973259864315141,0.2716497000584756
Elizabeth Taylor Greenfield,hasDescriptiveOccupation,Concert Singer,68,70,0.8022875816993463,0.0,23,60,0.5342127842127842,0.1122392891507702
Elizabeth Taylor Greenfield,hasDescriptiveOccupation,Music Educator,68,70,0.8022875816993463,0.0,20,53,0.5476190476190476,0.2379030946332623
Elizabeth Taylor Greenfield,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,16,13,0.5582089552238806,0.0
Elizabeth Taylor Greenfield,hasFirstName,Elizabeth Taylor,63,71,0.7983091787439612,0.0,52,100,0.6601851851851852,0.6689625304957969
Elizabeth Taylor Greenfield,hasName,Elizabeth Taylor Greenfield,58,61,0.8039215686274509,0.0,75,100,0.7185185185185187,0.9266368211041917
Elizabeth Taylor Greenfield,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,17,0.6110192837465566,0.0
Elizabeth Taylor Greenfield,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,25,57,0.5490155795240541,0.1047511733417752
Elizabeth Taylor Greenfield,hasSex,Female,80,100,0.8888888888888888,1.0,24,100,0.6392801251956182,0.335175743327926
Elizabeth Taylor Greenfield,hasSurname,Greenfield,65,67,0.8253968253968255,0.0,36,100,0.6171717171717171,0.5797386715376658
Elizabeth Taylor Greenfield,instance of,Person,36,41,0.5989057239057239,0.0,14,100,0.5841269841269842,0.1806868827017166
