TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Hannah Crafts,hasDescription,"Enslaved. Cross-listed as ""Hannah Bond"".",90,100,0.9411764705882352,1.0,51,71,0.6531481481481481,0.402484879510835
Hannah Crafts,hasDescriptiveOccupation,Educator,68,70,0.8022875816993463,0.0,19,24,0.5256410256410257,0.0
Hannah Crafts,hasDescriptiveOccupation,Fugitive Slave,68,70,0.8022875816993463,0.0,26,35,0.4676549865229111,0.0
Hannah Crafts,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,18,20,0.5349315068493151,0.0
Hannah Crafts,hasDescriptiveOccupation,Slave Narrative Author,68,70,0.8022875816993463,0.0,34,58,0.5717097445038622,0.098656215119193
Hannah Crafts,hasFirstName,Hannah,63,71,0.7983091787439612,0.0,34,100,0.6940639269406392,0.6348087971775132
Hannah Crafts,hasName,Hannah Crafts,58,61,0.8039215686274509,0.0,46,100,0.5836033884814372,0.7090528735856639
Hannah Crafts,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,16,0.5611111111111111,0.0
Hannah Crafts,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,43,57,0.538034188034188,0.1943143401685814
Hannah Crafts,hasSex,Female,80,100,0.8888888888888888,1.0,34,100,0.5098290598290598,0.3799783615910079
Hannah Crafts,hasSurname,Crafts,65,67,0.8253968253968255,0.0,24,100,0.5092243186582809,0.2789425453258252
Hannah Crafts,instance of,Person,36,41,0.5989057239057239,0.0,29,100,0.6,0.335175743327926
