TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Harry Washington,hasDescription,"Enslaved. Free before 13th Amendment. Likely born in Senegambia, Harry was enslaved and in 1763 purchased by George Washington. He escaped to join Lord Dunmore's ""Ethiopian Regiment"" and was subsequently evacuated to Nova Scotia before emigrating to Sierra Leone.",90,100,0.9411764705882352,1.0,38,74,0.7112880274445602,0.149647237427255
Harry Washington,hasDescriptiveOccupation,Freedman / Freedwoman,68,70,0.8022875816993463,0.0,31,41,0.5372405372405372,0.0
Harry Washington,hasDescriptiveOccupation,Frontiersman / Pioneer,68,70,0.8022875816993463,0.0,33,41,0.5889277389277389,0.0
Harry Washington,hasDescriptiveOccupation,Fugitive Slave,68,70,0.8022875816993463,0.0,27,53,0.5323443223443224,0.1943143401685814
Harry Washington,hasDescriptiveOccupation,Loyalist (American Revolution),68,70,0.8022875816993463,0.0,38,50,0.5900793650793651,0.1506401849870651
Harry Washington,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,16,100,0.5313186813186813,0.335175743327926
Harry Washington,hasFirstName,Harry,63,71,0.7983091787439612,0.0,11,17,0.5494623655913978,0.0
Harry Washington,hasName,Harry Washington,58,61,0.8039215686274509,0.0,48,77,0.5626026272577996,0.368023208756115
Harry Washington,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,17,0.621505376344086,0.0
Harry Washington,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,33,40,0.5863247863247864,0.0
Harry Washington,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6038461538461538,0.3799783615910079
Harry Washington,hasSurname,Washington,65,67,0.8253968253968255,0.0,45,100,0.6647058823529411,0.6348087971775132
Harry Washington,instance of,Person,36,41,0.5989057239057239,0.0,20,26,0.5900383141762452,0.0
