TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Henry Walton Bibb,hasDescription,"Born Enslaved. Free before 13th Amendment. Became an antislavery lecturer and autobiography writer who, after moving to Canada in 1850 because of the Fugitive Slave Law, established a journal called the Voice of the Fugitive and hoped to establish a black colony in Canada.",90,100,0.9411764705882352,1.0,47,55,0.738322042605183,0.374537934856212
Henry Walton Bibb,hasDescriptiveOccupation,Abolitionist,68,70,0.8022875816993463,0.0,24,100,0.6050505050505051,0.2195109508086083
Henry Walton Bibb,hasDescriptiveOccupation,Lecturer,68,70,0.8022875816993463,0.0,20,24,0.570906432748538,0.0
Henry Walton Bibb,hasDescriptiveOccupation,Newspaper Editor / Publisher,68,70,0.8022875816993463,0.0,35,51,0.5937950937950939,0.0352050351650746
Henry Walton Bibb,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,21,22,0.5516483516483516,0.0
Henry Walton Bibb,hasDescriptiveOccupation,Slave Narrative Author,68,70,0.8022875816993463,0.0,32,43,0.5850660863958737,0.098656215119193
Henry Walton Bibb,hasFirstName,Henry Walton,63,71,0.7983091787439612,0.0,53,100,0.7045454545454546,0.6689625304957969
Henry Walton Bibb,hasName,Henry Walton Bibb,58,61,0.8039215686274509,0.0,68,100,0.7795603089720737,0.9266368211041917
Henry Walton Bibb,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,16,0.6043859649122808,0.0
Henry Walton Bibb,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,39,57,0.5416361416361416,0.1757860783933462
Henry Walton Bibb,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6071428571428571,0.335175743327926
Henry Walton Bibb,hasSurname,Bibb,65,67,0.8253968253968255,0.0,22,100,0.6950354609929077,0.5797386715376658
Henry Walton Bibb,instance of,Person,36,41,0.5989057239057239,0.0,25,100,0.594017094017094,0.3032160644503863
