TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Henry Ossian Flipper,hasDescription,"Born Enslaved. The first African American to graduate from West Point, and the first African American commissioned officer in the U.S. Army. Dismissed from the Army on charges were posthumously deemed ""unduly harsh and unjust."".",90,100,0.9411764705882352,1.0,54,62,0.7519553494827957,0.475401195688341
Henry Ossian Flipper,hasDescriptiveOccupation,Army Officer (1866–1995),68,70,0.8022875816993463,0.0,32,48,0.4314814814814814,0.1152155433779312
Henry Ossian Flipper,hasDescriptiveOccupation,Mining Engineer,68,70,0.8022875816993463,0.0,32,70,0.5918803418803419,0.161713780662529
Henry Ossian Flipper,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,20,20,0.544988344988345,0.0
Henry Ossian Flipper,hasFirstName,Henry Ossian,63,71,0.7983091787439612,0.0,50,100,0.6388888888888888,0.6689625304957969
Henry Ossian Flipper,hasName,Henry Ossian Flipper,58,61,0.8039215686274509,0.0,71,100,0.7018518518518518,0.9266368211041917
Henry Ossian Flipper,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,14,0.605420054200542,0.0
Henry Ossian Flipper,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,28,57,0.5586937109325169,0.1505569696020495
Henry Ossian Flipper,hasSex,Male,80,100,0.8888888888888888,1.0,20,100,0.6002824858757062,0.335175743327926
Henry Ossian Flipper,hasSurname,Flipper,65,67,0.8253968253968255,0.0,33,100,0.5942612942612943,0.5797386715376658
Henry Ossian Flipper,instance of,Person,36,41,0.5989057239057239,0.0,19,100,0.5863247863247864,0.2596979932401624
