TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Isaac Jefferson,hasDescription,Enslaved. Possibly Free before 13th Amendment. A blacksmith whose Memoirs of a Monticello Slave were recorded by Charles Campbell but published only in 1951.,90,100,0.9411764705882352,1.0,38,48,0.6524990467044218,0.0639133601871119
Isaac Jefferson,hasDescriptiveOccupation,Blacksmith,68,70,0.8022875816993463,0.0,30,100,0.5676587301587301,0.3032160644503863
Isaac Jefferson,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,17,20,0.5418238993710692,0.0
Isaac Jefferson,hasFirstName,Isaac,63,71,0.7983091787439612,0.0,28,100,0.6981132075471699,0.6348087971775132
Isaac Jefferson,hasName,Isaac Jefferson,58,61,0.8039215686274509,0.0,65,100,0.6946236559139786,0.8181802073667198
Isaac Jefferson,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,11,19,0.6067340067340067,0.0
Isaac Jefferson,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,44,57,0.6624162624162624,0.1943143401685814
Isaac Jefferson,hasSex,Male,80,100,0.8888888888888888,1.0,23,100,0.6083333333333333,0.3799783615910079
Isaac Jefferson,hasSurname,Jefferson,65,67,0.8253968253968255,0.0,45,100,0.6523297491039427,0.6348087971775132
Isaac Jefferson,instance of,Person,36,41,0.5989057239057239,0.0,27,100,0.5955555555555555,0.335175743327926
