TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Isaiah Mays,hasDescription,"Born Enslaved. Free before 13th Amendment. He enlisted in the U.S. Army at Columbus in 1881, joining one of the four all-black units and earning the Medal of Honor for his service. He was subsequently denied the invalid pension that he requested.",46,47,0.650995670995671,0.0,27,47,0.5560416434643799,0.1895256069336411
Isaiah Mays,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,19,21,0.5418238993710692,0.0
Isaiah Mays,hasDescriptiveOccupation,Soldier,45,50,0.6305555555555555,0.0,29,100,0.4901168014375561,0.335175743327926
Isaiah Mays,hasDescriptiveOccupation,War Hero,45,50,0.6305555555555555,0.0,20,29,0.5261437908496732,0.0
Isaiah Mays,hasFirstName,Isaiah,63,71,0.7983091787439612,0.0,36,100,0.6296296296296297,0.6348087971775132
Isaiah Mays,hasName,Isaiah Mays,58,61,0.8039215686274509,0.0,58,100,0.6509539842873177,0.8955324150715727
Isaiah Mays,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,19,21,0.5555555555555555,0.0
Isaiah Mays,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,29,32,0.5673202614379086,0.0
Isaiah Mays,hasSex,Male,80,100,0.8888888888888888,1.0,26,100,0.6055555555555555,0.3799783615910079
Isaiah Mays,hasSurname,Mays,65,67,0.8253968253968255,0.0,26,100,0.6084905660377359,0.6348087971775132
Isaiah Mays,instance of,Person,36,41,0.5774410774410774,0.0,19,21,0.6,0.0
