TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
John Sella Martin,hasDescription,"Born Enslaved. Free before 13th Amendment. After escaping from slavery, Martin became a minister, antislavery activist, American Missionary Association employee, and newspaper editor.",90,100,0.9411764705882352,1.0,50,63,0.724458957904136,0.2326398245383825
John Sella Martin,hasDescriptiveOccupation,Abolitionist,68,70,0.8022875816993463,0.0,28,100,0.6111111111111112,0.2596979932401624
John Sella Martin,hasDescriptiveOccupation,Baptist Clergy,68,70,0.8022875816993463,0.0,26,29,0.5659075224292615,0.0
John Sella Martin,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,21,24,0.5499999999999999,0.0
John Sella Martin,hasFirstName,John Sella,63,71,0.7983091787439612,0.0,47,100,0.6343434343434343,0.6689625304957969
John Sella Martin,hasName,John Sella Martin,58,61,0.8039215686274509,0.0,68,100,0.7207367795603089,0.9266368211041917
John Sella Martin,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,18,0.6062893081761006,0.0
John Sella Martin,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,30,57,0.5523809523809523,0.1505569696020495
John Sella Martin,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6117021276595744,0.335175743327926
John Sella Martin,hasSurname,Martin,65,67,0.8253968253968255,0.0,31,100,0.5932914046121592,0.5797386715376658
John Sella Martin,instance of,Person,36,41,0.5989057239057239,0.0,18,100,0.5873015873015873,0.2596979932401624
