TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
James Collins Johnson,hasDescription,"Born Enslaved. Free before 13th Amendment. Tried in 1843 in what became known as the Princeton Fugitive Slave case, Johnson was nearly re-enslaved until a local woman intervened and bought his freedom.",69,69,0.7686387686387687,0.0,19,26,0.5005194334839214,0.0
James Collins Johnson,hasDescriptiveOccupation,Entrepreneur,52,52,0.6666666666666666,0.0,21,22,0.4497354497354497,0.0
James Collins Johnson,hasDescriptiveOccupation,Merchant,52,52,0.6666666666666666,0.0,18,24,0.4537037037037037,0.0
James Collins Johnson,hasDescriptiveOccupation,Slave,52,52,0.6666666666666666,0.0,10,10,0.3185185185185185,0.0
James Collins Johnson,hasFirstName,James Collins,27,40,0.5111111111111111,0.0,29,30,0.4347781847781847,0.0
James Collins Johnson,hasName,James Collins Johnson,32,32,0.5145502645502645,0.0,28,25,0.5238095238095237,0.0
James Collins Johnson,hasParticipantRole,Child,62,62,0.688888888888889,0.0,15,15,0.4851851851851852,0.0
James Collins Johnson,hasParticipantRole,Deceased Person,62,62,0.688888888888889,0.0,24,24,0.4601851851851852,0.0
James Collins Johnson,hasSex,Male,26,26,0.5588235294117647,0.0,10,16,0.3518518518518518,0.0
James Collins Johnson,hasSurname,Johnson,29,36,0.5102292768959436,0.0,19,15,0.503968253968254,0.0
James Collins Johnson,instance of,Person,34,34,0.5989057239057239,0.0,19,15,0.4259259259259259,0.0
