TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
James H Bronson,hasDescription,Free before 13th Amendment.,46,47,0.650995670995671,0.0,27,37,0.5644895480961055,0.0
James H Bronson,hasDescriptiveOccupation,Barber,45,50,0.6305555555555555,0.0,24,100,0.5883040935672516,0.335175743327926
James H Bronson,hasDescriptiveOccupation,Medal of Honor Recipient,45,50,0.6305555555555555,0.0,42,74,0.5950460829493087,0.3840557184352618
James H Bronson,hasDescriptiveOccupation,Soldier,45,50,0.6305555555555555,0.0,27,100,0.5952380952380952,0.335175743327926
James H Bronson,hasFirstName,James H.,63,71,0.7983091787439612,0.0,40,100,0.6762820512820512,0.6348087971775132
James H Bronson,hasName,James H. Bronson,58,61,0.8039215686274509,0.0,67,100,0.6875,0.8955324150715727
James H Bronson,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,13,16,0.5494623655913978,0.0
James H Bronson,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,34,31,0.5841269841269842,0.0
James H Bronson,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6055555555555555,0.3799783615910079
James H Bronson,hasSurname,Bronson,65,67,0.8253968253968255,0.0,36,100,0.6519114688128772,0.6348087971775132
James H Bronson,instance of,Person,36,41,0.5774410774410774,0.0,26,24,0.5965277777777778,0.0
