TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
James William Charles Pennington,hasDescription,Enslaved. Free before 13th Amendment. Pennington helped the Amistad victims return to Africa and as a minister helped found the American Missionary Association. He was also the first African American to receive a Doctor of Divinity from the University of Heidelberg in Germany .,46,47,0.650995670995671,0.0,39,64,0.6663206191572203,0.181169244250483
James William Charles Pennington,hasDescriptiveOccupation,Abolitionist,45,50,0.6305555555555555,0.0,22,100,0.5631760078662733,0.2097553962782169
James William Charles Pennington,hasDescriptiveOccupation,Congregational Clergy,45,50,0.6305555555555555,0.0,32,35,0.5738288811459543,0.0
James William Charles Pennington,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,15,17,0.549056603773585,0.0
James William Charles Pennington,hasFirstName,James William Charles,63,71,0.7983091787439612,0.0,61,100,0.6696428571428571,0.7406279644120329
James William Charles Pennington,hasName,James William Charles Pennington,58,61,0.8039215686274509,0.0,80,100,0.7743055555555555,0.9434557355986906
James William Charles Pennington,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,16,0.6157232704402517,0.0
James William Charles Pennington,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,29,57,0.5639095671353737,0.1505569696020495
James William Charles Pennington,hasSex,Male,80,100,0.8888888888888888,1.0,15,100,0.5982587064676617,0.3032160644503863
James William Charles Pennington,hasSurname,Pennington,65,67,0.8253968253968255,0.0,34,100,0.6497512437810945,0.5368927118515179
James William Charles Pennington,instance of,Person,36,41,0.5774410774410774,0.0,19,100,0.5833333333333334,0.2596979932401624
