TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
John Campbell Dancy,hasDescription,"Enslaved. An educator, Republican leader, and the editor of multiple AME Zion newspapers.",90,100,0.9411764705882352,1.0,38,50,0.6622713307923953,0.2221004598055108
John Campbell Dancy,hasDescriptiveOccupation,Educator,68,70,0.8022875816993463,0.0,22,100,0.5678104575163399,0.2789425453258252
John Campbell Dancy,hasDescriptiveOccupation,Federal Government Official,68,70,0.8022875816993463,0.0,33,40,0.5756453423120089,0.0
John Campbell Dancy,hasDescriptiveOccupation,Political Figure,68,70,0.8022875816993463,0.0,30,100,0.5966880341880342,0.161713780662529
John Campbell Dancy,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,20,100,0.549673202614379,0.2195109508086083
John Campbell Dancy,hasFirstName,John Campbell,63,71,0.7983091787439612,0.0,54,100,0.6622710622710622,0.6689625304957969
John Campbell Dancy,hasName,John Campbell Dancy,58,61,0.8039215686274509,0.0,70,100,0.724812030075188,0.9266368211041917
John Campbell Dancy,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,11,17,0.6048169556840077,0.0
John Campbell Dancy,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,28,37,0.5485903814262023,0.0
John Campbell Dancy,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.5987179487179487,0.335175743327926
John Campbell Dancy,hasSurname,Dancy,65,67,0.8253968253968255,0.0,25,100,0.6340136054421769,0.5797386715376658
John Campbell Dancy,instance of,Person,36,41,0.5989057239057239,0.0,16,27,0.5888888888888889,0.0
