TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
John Edward Bruce,hasDescription,Born Enslaved. A newspaper columnist and author who was one of the most widely read African American journalists during his life.,46,47,0.650995670995671,0.0,43,54,0.6862765844690782,0.1051218164720597
John Edward Bruce,hasDescriptiveOccupation,Civil Rights Activist,45,50,0.6305555555555555,0.0,33,100,0.5343736593736593,0.3631100119331374
John Edward Bruce,hasDescriptiveOccupation,Historian,45,50,0.6305555555555555,0.0,22,100,0.5907407407407407,0.1806868827017166
John Edward Bruce,hasDescriptiveOccupation,Print Journalist,45,50,0.6305555555555555,0.0,32,77,0.5908008658008658,0.1166403339440506
John Edward Bruce,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,16,18,0.5437500000000001,0.0
John Edward Bruce,hasFirstName,John Edward,63,71,0.7983091787439612,0.0,50,100,0.6565656565656566,0.6689625304957969
John Edward Bruce,hasName,John Edward Bruce,58,61,0.8039215686274509,0.0,68,100,0.6815210932857991,0.9266368211041917
John Edward Bruce,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,18,0.6256410256410256,0.0
John Edward Bruce,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,27,57,0.5615725359911407,0.1047511733417752
John Edward Bruce,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6025641025641025,0.335175743327926
John Edward Bruce,hasSurname,Bruce,65,67,0.8253968253968255,0.0,26,100,0.6320512820512821,0.5797386715376658
John Edward Bruce,instance of,Person,36,41,0.5774410774410774,0.0,17,100,0.594017094017094,0.1806868827017166
