TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
John Jea,hasDescription,"Enslaved. Free before 13th Amendment. The author of a significant autobiography, Jea toured, preached, and held revivals in the U.S., while at sea, during multiple European tours, and in the West Indies.",46,47,0.650995670995671,0.0,32,62,0.5811350977172478,0.2247812292549879
John Jea,hasDescriptiveOccupation,Christian Clergy / Lay Leader,45,50,0.6305555555555555,0.0,40,43,0.5872169975618252,0.0
John Jea,hasDescriptiveOccupation,Freedman / Freedwoman,45,50,0.6305555555555555,0.0,34,43,0.5450350682908822,0.0
John Jea,hasDescriptiveOccupation,Sailor (Trading Vessel),45,50,0.6305555555555555,0.0,34,44,0.5850241545893721,0.10371551133313
John Jea,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,21,29,0.5392655367231639,0.0
John Jea,hasDescriptiveOccupation,Slave Narrative Author,45,50,0.6305555555555555,0.0,34,39,0.5824420677361855,0.0
John Jea,hasFirstName,John,63,71,0.7983091787439612,0.0,29,100,0.638888888888889,0.6348087971775132
John Jea,hasName,John Jea,58,61,0.8039215686274509,0.0,50,100,0.6157407407407408,0.8955324150715727
John Jea,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,19,0.5525641025641025,0.0
John Jea,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,45,57,0.5777777777777778,0.1757860783933462
John Jea,hasSex,Male,80,100,0.8888888888888888,1.0,29,100,0.6065891472868218,0.3799783615910079
John Jea,hasSurname,Jea,65,67,0.8253968253968255,0.0,22,100,0.5972222222222222,0.6348087971775132
John Jea,instance of,Person,36,41,0.5774410774410774,0.0,24,100,0.6043360433604336,0.3032160644503863
