TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Joshua also Johnston Johnson,hasDescription,"Enslaved. Free before 13th Amendment. Likely born in the West Indies, Johnson was ""probably the first significant Afro-American painter,"" according to Grove Art Online.",90,100,0.9411764705882352,1.0,39,48,0.6787561556934251,0.1176369426462315
Joshua also Johnston Johnson,hasDescriptiveOccupation,Painter,68,70,0.8022875816993463,0.0,25,23,0.5714285714285714,0.0
Joshua also Johnston Johnson,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,17,20,0.5438775510204081,0.0
Joshua also Johnston Johnson,hasFirstName,Joshua (also Johnston),63,71,0.7983091787439612,0.0,51,65,0.704018204018204,0.2853061909813608
Joshua also Johnston Johnson,hasName,Joshua (also Johnston) Johnson,58,61,0.8039215686274509,0.0,49,60,0.6617521367521367,0.2412136066750698
Joshua also Johnston Johnson,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,16,0.604920049200492,0.0
Joshua also Johnston Johnson,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,41,57,0.5700404858299596,0.1943143401685814
Joshua also Johnston Johnson,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6089743589743589,0.3799783615910079
Joshua also Johnston Johnson,hasSurname,Johnson,65,67,0.8253968253968255,0.0,32,29,0.6200396825396824,0.0
Joshua also Johnston Johnson,instance of,Person,36,41,0.5989057239057239,0.0,27,100,0.5963718820861678,0.335175743327926
