TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
London Bourne,hasDescription,"Bridgetown merchant, born into slavery but manumitted through purchase by his father when London Bourne was 23. He purchased land after Emancipation, in 1841 paying £7,428 for the 169 acre Grazette&hellip;",90,100,0.9411764705882352,1.0,40,68,0.7125570501816215,0.1756161653669226
London Bourne,hasDescription,Children: 7 children [possibly more],90,100,0.9411764705882352,1.0,35,34,0.568093503339405,0.0
London Bourne,hasDescription,Spouse: Patience Hope Grahme,90,100,0.9411764705882352,1.0,36,40,0.5943992289569501,0.0
London Bourne,hasFirstName,London,63,71,0.7983091787439612,0.0,34,100,0.735632183908046,0.6348087971775132
London Bourne,hasName,London Bourne,58,61,0.8039215686274509,0.0,62,100,0.6622710622710622,0.8955324150715727
London Bourne,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,24,0.6229885057471264,0.0
London Bourne,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,32,57,0.5639095671353737,0.161713780662529
London Bourne,hasParticipantRole,Participant,84,86,0.9066666666666666,0.0,32,34,0.6086729362591431,0.0
London Bourne,hasPersonStatus,Enslaver or Owner,57,57,0.6628019323671497,0.0,37,100,0.5567094429196647,0.5245910904457137
London Bourne,hasRaceorColor,"""free mulatto""",56,58,0.712121212121212,0.0,26,50,0.5709956709956711,0.161713780662529
London Bourne,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6005747126436781,0.3799783615910079
London Bourne,hasSurname,Bourne,65,67,0.8253968253968255,0.0,34,100,0.6043360433604336,0.6348087971775132
London Bourne,instance of,Person,36,41,0.5989057239057239,0.0,19,100,0.5972222222222222,0.2789425453258252
