TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lucy Ann Berry Delaney,hasDescription,"Enslaved. Free before 13th Amendment. Wrote a memoir, From Darkness Cometh Light; or Struggles for Freedom (1891), about her mother, Polly Berry https://docsouth.unc.edu/neh/delaney/menu.html.",90,100,0.9411764705882352,1.0,36,67,0.6606646825396826,0.136194202624033
Lucy Ann Berry Delaney,hasDescriptiveOccupation,Autobiographer / Memoirist,68,70,0.8022875816993463,0.0,29,36,0.5544729344729346,0.0
Lucy Ann Berry Delaney,hasDescriptiveOccupation,Civic Leader,68,70,0.8022875816993463,0.0,29,67,0.5515127803860199,0.1943143401685814
Lucy Ann Berry Delaney,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,23,100,0.5482142857142858,0.2596979932401624
Lucy Ann Berry Delaney,hasFirstName,Lucy Ann Berry,63,71,0.7983091787439612,0.0,47,100,0.5906754064648801,0.7321049202512239
Lucy Ann Berry Delaney,hasName,Lucy Ann Berry Delaney,58,61,0.8039215686274509,0.0,46,100,0.6473380420748842,0.8344777154850028
Lucy Ann Berry Delaney,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,18,0.6047619047619047,0.0
Lucy Ann Berry Delaney,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,45,57,0.5594134713400768,0.1757860783933462
Lucy Ann Berry Delaney,hasSex,Female,80,100,0.8888888888888888,1.0,33,100,0.5739041794087666,0.3799783615910079
Lucy Ann Berry Delaney,hasSurname,Delaney,65,67,0.8253968253968255,0.0,38,100,0.6592775041050903,0.5368927118515179
Lucy Ann Berry Delaney,instance of,Person,36,41,0.5989057239057239,0.0,23,100,0.5912698412698413,0.3032160644503863
