TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lucy Terry Prince,hasDescription,Enslaved. Thought to be the first black poet in America. Also defended herself eloquently in court.,90,100,0.9411764705882352,1.0,43,50,0.6619897419086059,0.19085289131633
Lucy Terry Prince,hasDescriptiveOccupation,Poet,68,70,0.8022875816993463,0.0,17,100,0.6059322033898306,0.3032160644503863
Lucy Terry Prince,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,15,22,0.4837606837606837,0.0
Lucy Terry Prince,hasFirstName,Lucy Terry,63,71,0.7983091787439612,0.0,44,100,0.6619047619047619,0.6689625304957969
Lucy Terry Prince,hasName,Lucy Terry Prince,58,61,0.8039215686274509,0.0,65,100,0.6717086834733893,0.9266368211041917
Lucy Terry Prince,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,16,0.606568144499179,0.0
Lucy Terry Prince,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,39,57,0.5658119658119659,0.161713780662529
Lucy Terry Prince,hasSex,Female,80,100,0.8888888888888888,1.0,29,100,0.5744234800838575,0.335175743327926
Lucy Terry Prince,hasSurname,Prince,65,67,0.8253968253968255,0.0,29,100,0.6481481481481483,0.5023287782256718
Lucy Terry Prince,instance of,Person,36,41,0.5989057239057239,0.0,21,100,0.5955555555555555,0.2789425453258252
