TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mary Prince,hasDescription,Enslaved. Free before 13th Amendment. First woman to publish a slave narrative.,46,47,0.650995670995671,0.0,37,55,0.6456585971863144,0.159739376863276
Mary Prince,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,18,26,0.5418238993710692,0.0
Mary Prince,hasDescriptiveOccupation,Slave Narrative Author,45,50,0.6305555555555555,0.0,53,53,0.6952734172848025,0.1707761131901165
Mary Prince,hasFirstName,Mary,63,71,0.7983091787439612,0.0,24,100,0.6293103448275862,0.6348087971775132
Mary Prince,hasName,Mary Prince,58,61,0.8039215686274509,0.0,55,100,0.6415882967607106,0.8955324150715727
Mary Prince,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,18,15,0.5537414965986395,0.0
Mary Prince,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,33,45,0.5555555555555555,0.0
Mary Prince,hasSex,Female,80,100,0.8888888888888888,1.0,34,100,0.5152329749103942,0.3799783615910079
Mary Prince,hasSurname,Prince,65,67,0.8253968253968255,0.0,34,100,0.6587301587301587,0.6348087971775132
Mary Prince,instance of,Person,36,41,0.5774410774410774,0.0,22,26,0.6019157088122605,0.0
