TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Matthew Gaines,hasDescription,"Enslaved. Elected to the Texas state senate, but charges of bigamy (designed to smear his reputation) contributed to his not beginning a second term in 1874.",90,100,0.9411764705882352,1.0,39,52,0.7079268296633489,0.0889363251009843
Matthew Gaines,hasDescriptiveOccupation,Baptist Clergy,68,70,0.8022875816993463,0.0,32,67,0.5685425685425685,0.1272589870097525
Matthew Gaines,hasDescriptiveOccupation,Blacksmith,68,70,0.8022875816993463,0.0,21,31,0.5200396825396826,0.0
Matthew Gaines,hasDescriptiveOccupation,Civil Rights Activist,68,70,0.8022875816993463,0.0,26,34,0.5436507936507936,0.0
Matthew Gaines,hasDescriptiveOccupation,Political Figure,68,70,0.8022875816993463,0.0,28,72,0.5406381553769614,0.1272589870097525
Matthew Gaines,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,17,26,0.547953216374269,0.0
Matthew Gaines,hasDescriptiveOccupation,State Legislator,68,70,0.8022875816993463,0.0,35,48,0.5850484261501211,0.0772577763095274
Matthew Gaines,hasFirstName,Matthew,63,71,0.7983091787439612,0.0,38,100,0.6697722567287784,0.6348087971775132
Matthew Gaines,hasName,Matthew Gaines,58,61,0.8039215686274509,0.0,64,100,0.6793650793650793,0.8955324150715727
Matthew Gaines,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,16,0.6058997050147493,0.0
Matthew Gaines,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,30,57,0.5586937109325169,0.1414305679255449
Matthew Gaines,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6059322033898306,0.3799783615910079
Matthew Gaines,hasSurname,Gaines,65,67,0.8253968253968255,0.0,33,100,0.5990338164251208,0.6348087971775132
Matthew Gaines,instance of,Person,36,41,0.5989057239057239,0.0,16,100,0.5972222222222222,0.2439557250000634
