TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Pierre Caliste Landry,hasDescription,"Enslaved. When elected mayor of Donaldsonville in 1868, he became the first African American mayor in the United States. Also served as a state Representative, Senator, university founder, and Methodist Elder.",90,100,0.9411764705882352,1.0,46,73,0.67709987893749,0.4723124467435508
Pierre Caliste Landry,hasDescriptiveOccupation,Institutional Founder / Benefactor,68,70,0.8022875816993463,0.0,36,42,0.5994281045751634,0.1506401849870651
Pierre Caliste Landry,hasDescriptiveOccupation,Lawyer,68,70,0.8022875816993463,0.0,19,26,0.5270270270270271,0.0
Pierre Caliste Landry,hasDescriptiveOccupation,Methodist Episcopal Clergy,68,70,0.8022875816993463,0.0,35,84,0.5840880431044365,0.2059238898660237
Pierre Caliste Landry,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,19,21,0.5541666666666667,0.0
Pierre Caliste Landry,hasDescriptiveOccupation,State Legislator,68,70,0.8022875816993463,0.0,30,100,0.6032153729071537,0.2903209973602376
Pierre Caliste Landry,hasFirstName,Pierre Caliste,63,71,0.7983091787439612,0.0,55,100,0.64993564993565,0.6689625304957969
Pierre Caliste Landry,hasName,Pierre Caliste Landry,58,61,0.8039215686274509,0.0,72,100,0.7447447447447447,0.9266368211041917
Pierre Caliste Landry,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,19,24,0.6326797385620916,0.0
Pierre Caliste Landry,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,31,57,0.5700404858299596,0.1272589870097525
Pierre Caliste Landry,hasSex,Male,80,100,0.8888888888888888,1.0,20,100,0.6011904761904762,0.335175743327926
Pierre Caliste Landry,hasSurname,Landry,65,67,0.8253968253968255,0.0,28,100,0.5947712418300654,0.5797386715376658
Pierre Caliste Landry,instance of,Person,36,41,0.5989057239057239,0.0,23,100,0.5912698412698413,0.2195109508086083
