TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Pierre Toussaint,hasDescription,"Born Enslaved. Free before 13th Amendment. Born enslaved in Saint-Domingue and brought to New York, Toussaint became a successful barber and philanthropist who was a devoted Catholic. His biography was written by a white friend, Hannah Farnham Sawyer Lee.",90,100,0.9411764705882352,1.0,37,63,0.6448737780332207,0.2766093218338178
Pierre Toussaint,hasDescriptiveOccupation,Business and Industry,68,70,0.8022875816993463,0.0,33,40,0.5740692110177404,0.0830113402058671
Pierre Toussaint,hasDescriptiveOccupation,Civil Servant,68,70,0.8022875816993463,0.0,27,36,0.5384615384615384,0.0
Pierre Toussaint,hasDescriptiveOccupation,Hairdresser,68,70,0.8022875816993463,0.0,37,100,0.5796055796055796,0.335175743327926
Pierre Toussaint,hasDescriptiveOccupation,Philanthropist,68,70,0.8022875816993463,0.0,39,100,0.6162464985994398,0.335175743327926
Pierre Toussaint,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,16,22,0.5364369956548728,0.0
Pierre Toussaint,hasFirstName,Pierre,63,71,0.7983091787439612,0.0,32,100,0.6438979963570128,0.6348087971775132
Pierre Toussaint,hasName,Pierre Toussaint,58,61,0.8039215686274509,0.0,67,100,0.7291666666666666,0.8955324150715727
Pierre Toussaint,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,13,0.5529411764705882,0.0
Pierre Toussaint,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,39,57,0.5862156755773777,0.1943143401685814
Pierre Toussaint,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6077235772357724,0.3799783615910079
Pierre Toussaint,hasSurname,Toussaint,65,67,0.8253968253968255,0.0,44,100,0.6493055555555555,0.6348087971775132
Pierre Toussaint,instance of,Person,36,41,0.5989057239057239,0.0,26,100,0.6598915989159891,0.335175743327926
