TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Primus Hall,hasDescription,"Enslaved. Free before 13th Amendment. A freedman who enlisted during the Revolutionary War and later became a soap boiler, landowner, school founder, and activist.",90,100,0.9411764705882352,1.0,57,63,0.7365840175864977,0.308088850003236
Primus Hall,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,25,21,0.5549783549783549,0.0
Primus Hall,hasDescriptiveOccupation,Soldier,68,70,0.8022875816993463,0.0,27,100,0.6017316017316018,0.3799783615910079
Primus Hall,hasFirstName,Primus,63,71,0.7983091787439612,0.0,36,100,0.637085137085137,0.6348087971775132
Primus Hall,hasName,Primus Hall,58,61,0.8039215686274509,0.0,58,100,0.6812570145903479,0.8955324150715727
Primus Hall,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,19,18,0.6076190476190476,0.0
Primus Hall,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,33,57,0.575935175935176,0.1757860783933462
Primus Hall,hasSex,Male,80,100,0.8888888888888888,1.0,26,100,0.6055555555555555,0.3799783615910079
Primus Hall,hasSurname,Hall,65,67,0.8253968253968255,0.0,26,100,0.6158536585365854,0.6348087971775132
Primus Hall,instance of,Person,36,41,0.5989057239057239,0.0,24,100,0.6361111111111111,0.3032160644503863
