TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Prince Whipple,hasDescription,"Enslaved. Free before 13th Amendment. After being enslaved and transported to North America, Prince petitioned unsuccessfully in 1779 to end slavery and then participated in the American Revolution. Some credited him with crossing the Delaware River with Washington in December 1776, though this is unsubstantiated.",90,100,0.9411764705882352,1.0,35,69,0.6225220085685202,0.3004184840918021
Prince Whipple,hasDescriptiveOccupation,Abolitionist,68,70,0.8022875816993463,0.0,22,32,0.5601067168863779,0.0
Prince Whipple,hasDescriptiveOccupation,Patriot (American Revolution),68,70,0.8022875816993463,0.0,59,83,0.6418597667784395,0.3563004293331381
Prince Whipple,hasDescriptiveOccupation,Revolutionary Army Officer,68,70,0.8022875816993463,0.0,33,51,0.5428150281091457,0.0
Prince Whipple,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,23,24,0.4851851851851852,0.0
Prince Whipple,hasFirstName,Prince,63,71,0.7983091787439612,0.0,33,100,0.6527777777777778,0.6348087971775132
Prince Whipple,hasName,Prince Whipple,58,61,0.8039215686274509,0.0,64,100,0.6793650793650793,0.8955324150715727
Prince Whipple,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,26,0.6103359173126616,0.0
Prince Whipple,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,30,57,0.5882199925678187,0.161713780662529
Prince Whipple,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6050724637681159,0.3799783615910079
Prince Whipple,hasSurname,Whipple,65,67,0.8253968253968255,0.0,38,100,0.6492063492063492,0.6348087971775132
Prince Whipple,instance of,Person,36,41,0.5989057239057239,0.0,19,100,0.6,0.2789425453258252
