TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Quamina,hasAge,Age 30,60,63,0.8095238095238096,0.0,16,18,0.4948210922787194,0.0
Quamina,hasInterAgentRelationshipTypeTo,Enslaver or Owner,92,94,0.947244623655914,0.0,40,100,0.5628695922813569,0.5797386715376658
Quamina,hasName,Quamina,58,61,0.8039215686274509,0.0,35,100,0.6084656084656085,0.7092972666062738
Quamina,hasOccupation,"Agriculture, Husbandry, and Forestry",54,54,0.661965811965812,0.0,37,44,0.5796633337078231,0.0
Quamina,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,21,15,0.6404040404040404,0.0
Quamina,hasParticipantRole,Registered Person,84,86,0.9066666666666666,0.0,33,37,0.6106794919225552,0.0
Quamina,hasPersonStatus,Enslaved Person,57,57,0.6628019323671497,0.0,30,70,0.5743589743589744,0.2202881505618297
Quamina,hasRaceorColor,black,56,58,0.712121212121212,0.0,14,18,0.6242424242424243,0.0
Quamina,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6089743589743589,0.3799783615910079
Quamina,instance of,Person,36,41,0.5774410774410774,0.0,21,29,0.591919191919192,0.0
