TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Richard Preston,hasDescription,"Enslaved. Free before 13th Amendment. A Baptist preacher and abolitionist in Nova Scotia who established a separate congregation for black Baptists, established the African Baptist Association, and started a mutual aid society.",46,47,0.650995670995671,0.0,30,36,0.5668379833578072,0.0265880984535595
Richard Preston,hasDescriptiveOccupation,Abolitionist,45,50,0.6305555555555555,0.0,27,33,0.6073375262054508,0.0
Richard Preston,hasDescriptiveOccupation,Baptist Clergy,45,50,0.6305555555555555,0.0,31,34,0.5423505572441742,0.0
Richard Preston,hasDescriptiveOccupation,Community Activist,45,50,0.6305555555555555,0.0,25,33,0.5502978502978503,0.0
Richard Preston,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,17,23,0.5314814814814816,0.0
Richard Preston,hasFirstName,Richard,63,71,0.7983091787439612,0.0,37,100,0.6466973886328725,0.6348087971775132
Richard Preston,hasName,Richard Preston,58,61,0.8039215686274509,0.0,65,100,0.6946236559139786,0.8955324150715727
Richard Preston,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,21,0.6162601626016261,0.0
Richard Preston,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,43,43,0.6734767025089606,0.0
Richard Preston,hasSex,Male,80,100,0.8888888888888888,1.0,23,100,0.6018518518518519,0.3799783615910079
Richard Preston,hasSurname,Preston,65,67,0.8253968253968255,0.0,37,100,0.6328320802005013,0.6348087971775132
Richard Preston,instance of,Person,36,41,0.5774410774410774,0.0,27,30,0.6637426900584796,0.0
