TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Robert Smalls,hasDescription,"Enslaved. A ship pilot during the Civil War who became a businessman, and landowner who served five terms in the U.S. House of Representatives, beginning in 1874.",90,100,0.9411764705882352,1.0,40,52,0.6691734395693748,0.3357398591347895
Robert Smalls,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,24,24,0.5589743589743589,0.0
Robert Smalls,hasDescriptiveOccupation,U.S. Representative,68,70,0.8022875816993463,0.0,29,36,0.5479500638388424,0.0
Robert Smalls,hasFirstName,Robert,63,71,0.7983091787439612,0.0,34,100,0.6576227390180879,0.6348087971775132
Robert Smalls,hasName,Robert Smalls,58,61,0.8039215686274509,0.0,62,100,0.6878868258178604,0.8955324150715727
Robert Smalls,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,18,0.5636363636363636,0.0
Robert Smalls,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,37,57,0.5728049728049728,0.1757860783933462
Robert Smalls,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6033333333333334,0.3799783615910079
Robert Smalls,hasSurname,Smalls,65,67,0.8253968253968255,0.0,34,100,0.6020671834625323,0.6348087971775132
Robert Smalls,instance of,Person,36,41,0.5989057239057239,0.0,21,100,0.591919191919192,0.3032160644503863
