TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Robert Voorhis,hasDescription,"Enslaved. Free before 13th Amendment. Robert Voorhis escaped from slavery but learned that his wife was likely dead (possibly due to suicide) and his children. He withdrew from society, becoming known as ""Robert the Hermit."".",46,47,0.650995670995671,0.0,39,50,0.698597438475954,0.1028714993127349
Robert Voorhis,hasDescriptiveOccupation,Fugitive Slave,45,50,0.6305555555555555,0.0,21,26,0.5104631342255105,0.0
Robert Voorhis,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,14,19,0.5415841584158416,0.0
Robert Voorhis,hasDescriptiveOccupation,Slave Narrative Author,45,50,0.6305555555555555,0.0,31,37,0.5562770562770563,0.0
Robert Voorhis,hasFirstName,Robert,63,71,0.7983091787439612,0.0,15,19,0.582766439909297,0.0
Robert Voorhis,hasName,Robert Voorhis,58,61,0.8039215686274509,0.0,42,67,0.6150056839712013,0.3360969272762575
Robert Voorhis,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,14,15,0.6082508250825083,0.0
Robert Voorhis,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,30,32,0.586002886002886,0.0
Robert Voorhis,hasSex,Male,80,100,0.8888888888888888,1.0,19,100,0.5980392156862745,0.335175743327926
Robert Voorhis,hasSurname,Voorhis,65,67,0.8253968253968255,0.0,30,100,0.6417013407304669,0.5797386715376658
Robert Voorhis,instance of,Person,36,41,0.5774410774410774,0.0,16,17,0.5912698412698413,0.0
