TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Salem Poor,hasDescription,Enslaved. Free before 13th Amendment. Fought so valiantly at the Battle of Bunker Hill that fourteen officers submitted a petition for him to be rewarded.,90,100,0.9411764705882352,1.0,38,51,0.6554644186223134,0.1523141551937591
Salem Poor,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,26,100,0.5596774193548387,0.0885888480121061
Salem Poor,hasDescriptiveOccupation,Soldier,68,70,0.8022875816993463,0.0,37,100,0.6009644364074744,0.3799783615910079
Salem Poor,hasDescriptiveOccupation,War Hero,68,70,0.8022875816993463,0.0,26,55,0.5777777777777778,0.1337850929463124
Salem Poor,hasFirstName,Salem,63,71,0.7983091787439612,0.0,32,100,0.6326797385620916,0.6348087971775132
Salem Poor,hasName,Salem Poor,58,61,0.8039215686274509,0.0,56,100,0.7282051282051283,0.8955324150715727
Salem Poor,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,20,0.6058479532163743,0.0
Salem Poor,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,34,57,0.5823073945025165,0.1757860783933462
Salem Poor,hasSex,Male,80,100,0.8888888888888888,1.0,27,100,0.6155913978494624,0.3799783615910079
Salem Poor,hasSurname,Poor,65,67,0.8253968253968255,0.0,27,100,0.7000000000000001,0.6348087971775132
Salem Poor,instance of,Person,36,41,0.5989057239057239,0.0,24,100,0.6,0.3032160644503863
