TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Scipio Africanus,hasDescription,Enslaved. Free before 13th Amendment. Served in the Navy during the American Revolution aboard the Ranger and was one of several crewmembers to petition the American commissioners in France for better treatment of a ship officer.,46,47,0.650995670995671,0.0,36,44,0.6157300091568075,0.1643051770874908
Scipio Africanus,hasDescriptiveOccupation,Sailor (Navy),45,50,0.6305555555555555,0.0,25,23,0.5009065009065009,0.0
Scipio Africanus,hasDescriptiveOccupation,War Hero,45,50,0.6305555555555555,0.0,16,55,0.5530942334739803,0.1272589870097525
Scipio Africanus,hasFirstName,Scipio,63,71,0.7983091787439612,0.0,21,100,0.5802469135802468,0.4736820224661604
Scipio Africanus,hasName,Scipio Africanus,58,61,0.8039215686274509,0.0,48,100,0.6002747252747253,0.757934808142964
Scipio Africanus,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,11,15,0.621097046413502,0.0
Scipio Africanus,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,26,31,0.5672771672771673,0.0
Scipio Africanus,hasSex,Male,80,100,0.8888888888888888,1.0,15,100,0.595679012345679,0.3032160644503863
Scipio Africanus,hasSurname,Africanus,65,67,0.8253968253968255,0.0,31,100,0.5896464646464646,0.4736820224661604
Scipio Africanus,instance of,Person,36,41,0.5774410774410774,0.0,20,18,0.5955555555555555,0.0
