TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Scipio Moorhead,hasDescription,"Enslaved. One of the first African American painters, Moorhead is best known for his engraving of Phillis Wheatley. Also a poet.",46,47,0.650995670995671,0.0,36,76,0.5986791892808684,0.1787363025879068
Scipio Moorhead,hasDescriptiveOccupation,Engraver,45,50,0.6305555555555555,0.0,22,29,0.5605646630236795,0.0
Scipio Moorhead,hasDescriptiveOccupation,Painter,45,50,0.6305555555555555,0.0,25,27,0.5714285714285714,0.0
Scipio Moorhead,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,24,26,0.5582089552238806,0.0
Scipio Moorhead,hasFirstName,Scipio,63,71,0.7983091787439612,0.0,32,100,0.7311827956989246,0.6348087971775132
Scipio Moorhead,hasName,Scipio Moorhead,58,61,0.8039215686274509,0.0,65,100,0.6946236559139786,0.8955324150715727
Scipio Moorhead,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,19,19,0.5555555555555555,0.0
Scipio Moorhead,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,32,38,0.5756613756613757,0.0
Scipio Moorhead,hasSex,Male,80,100,0.8888888888888888,1.0,23,100,0.6037414965986394,0.3799783615910079
Scipio Moorhead,hasSurname,Moorhead,65,67,0.8253968253968255,0.0,41,100,0.6276881720430108,0.6348087971775132
Scipio Moorhead,instance of,Person,36,41,0.5774410774410774,0.0,17,24,0.5963718820861678,0.0
