TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Shadrach Minkins,hasDescription,Enslaved. Free before 13th Amendment. Minkins was the central figure in one of the  most famous Fugitive Slave Law cases in Boston.,90,100,0.9411764705882352,1.0,44,71,0.6845594694507269,0.2971595875252202
Shadrach Minkins,hasDescriptiveOccupation,Fugitive Slave,68,70,0.8022875816993463,0.0,39,100,0.5337415888076681,0.5023287782256719
Shadrach Minkins,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,16,100,0.5568075117370892,0.335175743327926
Shadrach Minkins,hasFirstName,Shadrach,63,71,0.7983091787439612,0.0,40,100,0.6208920187793427,0.6348087971775132
Shadrach Minkins,hasName,Shadrach Minkins,58,61,0.8039215686274509,0.0,67,100,0.6875,0.8955324150715727
Shadrach Minkins,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,18,0.6229885057471264,0.0
Shadrach Minkins,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,32,57,0.5550499578668593,0.161713780662529
Shadrach Minkins,hasSex,Male,80,100,0.8888888888888888,1.0,22,100,0.6005747126436781,0.3799783615910079
Shadrach Minkins,hasSurname,Minkins,65,67,0.8253968253968255,0.0,36,100,0.6639194139194139,0.6348087971775132
Shadrach Minkins,instance of,Person,36,41,0.5989057239057239,0.0,18,100,0.5947712418300654,0.2789425453258252
