TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Stephen Bishop,hasDescription,Enslaved. Free before 13th Amendment. Enslaved as a guide in Mammoth Caves who had extensive knowledge of the underground cave system.,90,100,0.9411764705882352,1.0,54,68,0.6889739817658121,0.3355588129302703
Stephen Bishop,hasDescriptiveOccupation,Cartographer,68,70,0.8022875816993463,0.0,29,35,0.5752136752136753,0.0
Stephen Bishop,hasDescriptiveOccupation,Guide,68,70,0.8022875816993463,0.0,15,100,0.5230462519936204,0.1936032468785861
Stephen Bishop,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,19,24,0.5524904214559387,0.0
Stephen Bishop,hasFirstName,Stephen,63,71,0.7983091787439612,0.0,38,100,0.6492063492063492,0.6348087971775132
Stephen Bishop,hasName,Stephen Bishop,58,61,0.8039215686274509,0.0,64,100,0.7031746031746032,0.8955324150715727
Stephen Bishop,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,17,14,0.6063795853269537,0.0
Stephen Bishop,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,38,57,0.5842948717948718,0.1757860783933462
Stephen Bishop,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6037414965986394,0.3799783615910079
Stephen Bishop,hasSurname,Bishop,65,67,0.8253968253968255,0.0,33,100,0.5849673202614379,0.6348087971775132
Stephen Bishop,instance of,Person,36,41,0.5989057239057239,0.0,22,100,0.5972222222222222,0.3032160644503863
