TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thomas Fuller,hasDescription,Enslaved. A prodigy at mental math.,46,47,0.650995670995671,0.0,34,40,0.5869047619047619,0.0
Thomas Fuller,hasDescriptiveOccupation,Mathematician,45,50,0.6305555555555555,0.0,27,32,0.5594653573376978,0.0
Thomas Fuller,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,24,23,0.5333333333333333,0.0
Thomas Fuller,hasFirstName,Thomas,63,71,0.7983091787439612,0.0,34,100,0.6361111111111111,0.6348087971775132
Thomas Fuller,hasName,Thomas Fuller,58,61,0.8039215686274509,0.0,62,100,0.6878868258178604,0.8955324150715727
Thomas Fuller,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,12,17,0.556060606060606,0.0
Thomas Fuller,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,33,35,0.5728049728049728,0.0
Thomas Fuller,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6046099290780141,0.3799783615910079
Thomas Fuller,hasSurname,Fuller,65,67,0.8253968253968255,0.0,34,100,0.6143790849673203,0.6348087971775132
Thomas Fuller,instance of,Person,36,41,0.5774410774410774,0.0,16,26,0.5981087470449172,0.0
