TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Venture Smith,hasDescription,"Enslaved. Free before 13th Amendment. Captured in Guinea and forced to be a servant in raids on other African nations, and at age eight was transported to Rhode Island and enslaved there. After gaining his freedom he wrote an important autobiography and acquired land.",90,100,0.9411764705882352,1.0,42,55,0.7395440518924365,0.3202703957800501
Venture Smith,hasDescriptiveOccupation,Entrepreneur,68,70,0.8022875816993463,0.0,31,36,0.5975293475293475,0.0
Venture Smith,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,19,27,0.5444444444444444,0.0
Venture Smith,hasDescriptiveOccupation,Slave Narrative Author,68,70,0.8022875816993463,0.0,35,58,0.5855218855218856,0.0706163279953344
Venture Smith,hasFirstName,Venture,63,71,0.7983091787439612,0.0,39,100,0.6123642439431913,0.6348087971775132
Venture Smith,hasName,Venture Smith,58,61,0.8039215686274509,0.0,62,100,0.6622710622710622,0.8955324150715727
Venture Smith,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,18,17,0.6044444444444445,0.0
Venture Smith,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,38,57,0.5395424836601307,0.1757860783933462
Venture Smith,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6041666666666666,0.3799783615910079
Venture Smith,hasSurname,Smith,65,67,0.8253968253968255,0.0,29,100,0.5720930232558139,0.6348087971775132
Venture Smith,instance of,Person,36,41,0.5989057239057239,0.0,22,100,0.5947712418300654,0.3032160644503863
