TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Grimes,hasDescription,"Born Enslaved. Free before 13th Amendment. After being enslaved by ten owners, Grimes escaped and became a barber in New Haven, Connecticut, moving several times to avoid re-enslavement.",46,47,0.650995670995671,0.0,34,39,0.6265959808850097,0.0497716264488214
William Grimes,hasDescriptiveOccupation,Autobiographer / Memoirist,45,50,0.6305555555555555,0.0,28,35,0.5652271704903283,0.0
William Grimes,hasDescriptiveOccupation,Entrepreneur,45,50,0.6305555555555555,0.0,18,30,0.580428175560919,0.0
William Grimes,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,20,22,0.5480825958702065,0.0
William Grimes,hasDescriptiveOccupation,Slave Narrative Author,45,50,0.6305555555555555,0.0,26,39,0.5530693936266692,0.0
William Grimes,hasFirstName,William,63,71,0.7983091787439612,0.0,33,100,0.638095238095238,0.5797386715376658
William Grimes,hasName,William Grimes,58,61,0.8039215686274509,0.0,41,67,0.5637236326891499,0.3360969272762575
William Grimes,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,19,0.5619047619047619,0.0
William Grimes,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,32,31,0.574264007597341,0.0
William Grimes,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6029411764705882,0.335175743327926
William Grimes,hasSurname,Grimes,65,67,0.8253968253968255,0.0,20,20,0.5784580498866213,0.0
William Grimes,instance of,Person,36,41,0.5774410774410774,0.0,17,18,0.5925925925925926,0.0
