TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Lewis,hasAge,Age 38,53,62,0.7037037037037037,0.0,13,16,0.4956140350877193,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,39,40,0.5865800865800866,0.0,26,36,0.5047194351542178,0.0
William Lewis,hasFirstName,William,63,71,0.7983091787439612,0.0,33,100,0.638095238095238,0.5797386715376658
William Lewis,hasName,William Lewis,58,61,0.8039215686274509,0.0,54,100,0.6366300366300366,0.6689625304957969
William Lewis,hasOccupation,Maritime,54,54,0.661965811965812,0.0,23,33,0.615632318501171,0.0
William Lewis,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,19,0.5619047619047619,0.0
William Lewis,hasParticipantRole,Registered Person,84,86,0.9066666666666666,0.0,34,37,0.5652982504477201,0.0
William Lewis,hasParticipantRole,Relocated Person,84,86,0.9066666666666666,0.0,32,34,0.5654761904761905,0.0
William Lewis,hasRaceorColor,Mulatto,56,58,0.712121212121212,0.0,14,20,0.5256356229807557,0.0
William Lewis,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6029411764705882,0.335175743327926
William Lewis,hasSurname,Lewis,65,67,0.8253968253968255,0.0,25,100,0.580952380952381,0.4285693450091423
William Lewis,instance of,Person,36,41,0.5774410774410774,0.0,17,18,0.5925925925925926,0.0
