TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Parker,hasDescription,"Enslaved. Free before 13th Amendment. After escaping enslavement and settling in Pennsylvania, Parker joined a self-protection society. Parker had to move to Toronto after the so-called ""Christiana Resistance,"" during which a white man died while trying to recapture fugitives whom Parker was protecting.",46,47,0.650995670995671,0.0,29,36,0.5780623526474246,0.0359658705936624
William Parker,hasDescriptiveOccupation,Civil Rights Activist,45,50,0.6305555555555555,0.0,28,35,0.5321123321123321,0.0
William Parker,hasDescriptiveOccupation,Slave,45,50,0.6305555555555555,0.0,20,22,0.5480825958702065,0.0
William Parker,hasDescriptiveOccupation,Slave Narrative Author,45,50,0.6305555555555555,0.0,26,39,0.5530693936266692,0.0
William Parker,hasFirstName,William,63,71,0.7983091787439612,0.0,33,100,0.638095238095238,0.5797386715376658
William Parker,hasName,William Parker,58,61,0.8039215686274509,0.0,41,67,0.5856902660181349,0.3360969272762575
William Parker,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,19,0.5619047619047619,0.0
William Parker,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,32,31,0.574264007597341,0.0
William Parker,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6029411764705882,0.335175743327926
William Parker,hasSurname,Parker,65,67,0.8253968253968255,0.0,13,20,0.5717668488160291,0.0
William Parker,instance of,Person,36,41,0.5774410774410774,0.0,17,18,0.5925925925925926,0.0
