TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Wells Brown,hasDescription,"Enslaved. Free before 13th Amendment. An abolitionist, member of the Underground Railroad, autobiographer, travelogue writer, and author of Clotel (considered to be the first full-length African American novel) who also lectured in the U.S. and Great Britain .",90,100,0.9411764705882352,1.0,47,60,0.7102709481006734,0.4225858723231678
William Wells Brown,hasDescriptiveOccupation,Abolitionist,68,70,0.8022875816993463,0.0,24,100,0.5716357119582925,0.2789425453258252
William Wells Brown,hasDescriptiveOccupation,Biographer,68,70,0.8022875816993463,0.0,24,24,0.5588075880758807,0.0
William Wells Brown,hasDescriptiveOccupation,Fiction Writer,68,70,0.8022875816993463,0.0,29,31,0.5744137752011768,0.0
William Wells Brown,hasDescriptiveOccupation,Lecturer,68,70,0.8022875816993463,0.0,16,21,0.5365251897860593,0.0
William Wells Brown,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,20,21,0.5469945355191257,0.0
William Wells Brown,hasFirstName,William Wells,63,71,0.7983091787439612,0.0,54,100,0.6622710622710622,0.6689625304957969
William Wells Brown,hasName,William Wells Brown,58,61,0.8039215686274509,0.0,70,100,0.7598997493734335,0.9266368211041917
William Wells Brown,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,15,17,0.6038647342995169,0.0
William Wells Brown,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,35,57,0.574264007597341,0.161713780662529
William Wells Brown,hasSex,Male,80,100,0.8888888888888888,1.0,21,100,0.6018518518518519,0.335175743327926
William Wells Brown,hasSurname,Brown,65,67,0.8253968253968255,0.0,25,100,0.7006802721088435,0.5797386715376658
William Wells Brown,instance of,Person,36,41,0.5989057239057239,0.0,20,100,0.5925925925925926,0.2789425453258252
