TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Allen Allensworth,hasDescription,"Enslaved. Free before 13th Amendment.  After serving in the military during the Civil War, he was a teacher, Baptist preacher, Republican political figure,  chaplain, lieutenant colonel, and the co-founder of an all-black community in California called Allensworth.",58,60,0.6870525988173046,0.0,38,59,0.6606016500433004,0.1836109200704261
Allen Allensworth,hasDescriptiveOccupation,Baptist Clergy,63,65,0.6662267471091,0.0,28,67,0.5149570236526758,0.0329720817725441
Allen Allensworth,hasDescriptiveOccupation,City and Town Founder / Benefactor,63,65,0.6662267471091,0.0,29,41,0.55646245739125,0.0
Allen Allensworth,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,20,100,0.5381642512077295,0.0568740423768709
Allen Allensworth,hasFirstName,Allen,83,86,0.9019607843137256,0.0,29,100,0.6555555555555556,0.7092972666062738
Allen Allensworth,hasName,Allen Allensworth,78,82,0.8787878787878788,0.0,72,100,0.7379084967320262,0.8955324150715727
Allen Allensworth,hasParticipantRole,Child,88,90,0.927536231884058,0.0,12,16,0.6053981106612686,0.0
Allen Allensworth,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,31,57,0.5666666666666667,0.0329720817725441
Allen Allensworth,hasSex,Male,75,80,0.8666666666666667,0.0,21,100,0.5873819163292847,0.3799783615910079
Allen Allensworth,hasSurname,Allensworth,83,87,0.9047619047619048,0.0,54,100,0.6373737373737374,0.7092972666062738
Allen Allensworth,instance of,Person,36,37,0.5774410774410774,0.0,17,100,0.5636527215474584,0.0568740423768709
