TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Archer Alexander,hasDescription,"Enslaved. Free before 13th Amendment. Described by William Greenleaf Eliot's The Story of Archer Alexander. From Slavery to Freedom, March 30, 1863 and portrayed in the Freedmen's Memorial to Abraham Lincoln, Archer was a fugitive slave who helped members of his family escape slavery.",58,60,0.6870525988173046,0.0,34,81,0.6186585038622567,0.2307966192063595
Archer Alexander,hasDescriptiveOccupation,Artist's Model,63,65,0.6662267471091,0.0,25,53,0.5796869796869797,0.1083015604191158
Archer Alexander,hasDescriptiveOccupation,Freedman / Freedwoman,63,65,0.6662267471091,0.0,33,38,0.5379572118702554,0.0
Archer Alexander,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,21,100,0.5536585365853659,0.2439557250000634
Archer Alexander,hasFirstName,Archer,83,86,0.9019607843137256,0.0,34,100,0.6292929292929292,0.7092972666062738
Archer Alexander,hasName,Archer Alexander,78,82,0.8787878787878788,0.0,71,100,0.7047413793103449,0.8955324150715727
Archer Alexander,hasParticipantRole,Child,88,90,0.927536231884058,0.0,18,20,0.6162601626016261,0.0
Archer Alexander,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,32,57,0.5704980842911878,0.3112574675270537
Archer Alexander,hasSex,Male,75,80,0.8666666666666667,0.0,21,100,0.5229885057471265,0.3799783615910079
Archer Alexander,hasSurname,Alexander,83,87,0.9047619047619048,0.0,47,100,0.6067538126361656,0.7092972666062738
Archer Alexander,instance of,Person,36,37,0.5618686868686869,0.0,17,100,0.5825825825825826,0.5368927118515179
