TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Charlotte Dupuy,hasDescription,Enslaved. Also known as Lotty.,43,44,0.6637492941840768,0.0,34,46,0.5241452991452992,0.056997528521406
Charlotte Dupuy,hasDescriptiveOccupation,Litigant,47,48,0.6592477570738441,0.0,15,25,0.5559467918622848,0.0
Charlotte Dupuy,hasDescriptiveOccupation,Slave,47,48,0.6592477570738441,0.0,20,21,0.5493589743589743,0.0
Charlotte Dupuy,hasFirstName,Charlotte,83,86,0.9019607843137256,0.0,41,100,0.6042328042328042,0.7092972666062738
Charlotte Dupuy,hasName,Charlotte Dupuy,78,82,0.8787878787878788,0.0,60,100,0.7206349206349206,0.8955324150715727
Charlotte Dupuy,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,28,0.6058479532163743,0.0
Charlotte Dupuy,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,23,57,0.5226495726495727,0.2060836350139382
Charlotte Dupuy,hasSex,Female,75,80,0.8666666666666667,0.0,29,100,0.6565656565656566,0.3799783615910079
Charlotte Dupuy,hasSurname,Dupuy,83,87,0.9047619047619048,0.0,25,100,0.7045454545454545,0.7092972666062738
Charlotte Dupuy,instance of,Person,36,37,0.5774410774410774,0.0,15,100,0.5837245696400625,0.3554767779546839
