TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Clement Garnett Morgan,hasDescription,"Enslaved. Passed the bar in 1893, held several elected roles in Cambridge, MA. Became involved in the Niagara Movement (and was caught up in the subsequent split), and then in 1910 joined the newly-formed NAACP.",58,60,0.6870525988173046,0.0,31,37,0.6022162860835847,0.0238058000165713
Clement Garnett Morgan,hasDescriptiveOccupation,Civil Rights Activist,63,65,0.6662267471091,0.0,35,100,0.5585428217007165,0.3994395017823608
Clement Garnett Morgan,hasDescriptiveOccupation,Lawyer,63,65,0.6662267471091,0.0,15,22,0.5285714285714286,0.0
Clement Garnett Morgan,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,18,17,0.5466666666666667,0.0
Clement Garnett Morgan,hasFirstName,Clement Garnett,83,86,0.9019607843137256,0.0,60,100,0.6761904761904761,0.7090528735856639
Clement Garnett Morgan,hasName,Clement Garnett Morgan,78,82,0.8787878787878788,0.0,77,100,0.7246753246753247,0.9266368211041917
Clement Garnett Morgan,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,12,17,0.6106666666666667,0.0
Clement Garnett Morgan,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,31,57,0.5512326916582235,0.161713780662529
Clement Garnett Morgan,hasSex,Male,75,80,0.8666666666666667,0.0,18,100,0.6063218390804598,0.335175743327926
Clement Garnett Morgan,hasSurname,Morgan,83,87,0.9047619047619048,0.0,29,100,0.5900383141762452,0.6348087971775132
Clement Garnett Morgan,instance of,Person,36,37,0.5774410774410774,0.0,20,100,0.5841269841269842,0.2789425453258252
