TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Eliza Anna Grier,hasDescription,"Born Enslaved. An early black, female physician.",58,60,0.6870525988173046,0.0,40,50,0.621031746031746,0.0934947749753671
Eliza Anna Grier,hasDescriptiveOccupation,Educator,63,65,0.6662267471091,0.0,16,19,0.5675566343042071,0.0
Eliza Anna Grier,hasDescriptiveOccupation,Physician,63,65,0.6662267471091,0.0,26,24,0.5512820512820512,0.0
Eliza Anna Grier,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,20,20,0.5529411764705882,0.0
Eliza Anna Grier,hasFirstName,Eliza Anna,83,86,0.9019607843137256,0.0,51,100,0.6482758620689655,0.7090528735856639
Eliza Anna Grier,hasName,Eliza Anna Grier,78,82,0.8787878787878788,0.0,71,100,0.7047413793103449,0.9266368211041917
Eliza Anna Grier,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,15,15,0.6129449838187703,0.0
Eliza Anna Grier,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,27,57,0.5235998802036538,0.1414305679255449
Eliza Anna Grier,hasSex,Female,75,80,0.8666666666666667,0.0,29,100,0.5841269841269842,0.335175743327926
Eliza Anna Grier,hasSurname,Grier,83,87,0.9047619047619048,0.0,29,100,0.6196078431372549,0.6348087971775132
Eliza Anna Grier,instance of,Person,36,37,0.5774410774410774,0.0,13,100,0.5790849673202615,0.2439557250000634
