TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Hannah Till,hasDescription,"Born Enslaved. Free before 13th Amendment. A skilled cook who worked both for George Washington and Lafayette, she bought her freedom and later lived in Philadelphia until the age of 102 or 104.",58,60,0.6870525988173046,0.0,36,52,0.6090055133869566,0.1423623607626773
Hannah Till,hasDescriptiveOccupation,Chef / Cook,63,65,0.6662267471091,0.0,21,62,0.4962121212121212,0.1505569696020495
Hannah Till,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,19,19,0.6152905198776758,0.0
Hannah Till,hasFirstName,Hannah,83,86,0.9019607843137256,0.0,32,100,0.6180555555555555,0.6348087971775132
Hannah Till,hasName,Hannah Till,78,82,0.8787878787878788,0.0,51,100,0.7206439393939394,0.7090528735856639
Hannah Till,hasParticipantRole,Child,88,90,0.927536231884058,0.0,16,25,0.6121212121212122,0.0
Hannah Till,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,26,57,0.5444007572447939,0.2060836350139382
Hannah Till,hasSex,Female,75,80,0.8666666666666667,0.0,27,100,0.5814814814814815,0.335175743327926
Hannah Till,hasSurname,Till,83,87,0.9047619047619048,0.0,22,100,0.6933333333333334,0.6348087971775132
Hannah Till,instance of,Person,36,37,0.5618686868686869,0.0,14,100,0.5777777777777778,0.3554767779546839
