TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Harriet Scott,hasDescription,"Enslaved. Free before 13th Amendment. Married Dred Scott in 1836 or 1837, and in 1846 they each filed lawsuits demanding their freedom.",58,60,0.6870525988173046,0.0,36,48,0.5974854942052438,0.1661110525440021
Harriet Scott,hasDescriptiveOccupation,Litigant,63,65,0.6662267471091,0.0,20,27,0.5616760828625235,0.0
Harriet Scott,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,16,100,0.545771144278607,0.3032160644503863
Harriet Scott,hasDescriptiveOccupation,Washerwoman / Laundress,63,65,0.6662267471091,0.0,39,60,0.5516352786173758,0.1757860783933462
Harriet Scott,hasFirstName,Harriet,83,86,0.9019607843137256,0.0,29,100,0.626984126984127,0.6348087971775132
Harriet Scott,hasName,Harriet Scott,78,82,0.8787878787878788,0.0,47,100,0.6416361416361417,0.7090528735856639
Harriet Scott,hasParticipantRole,Child,88,90,0.927536231884058,0.0,13,14,0.6099502487562188,0.0
Harriet Scott,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,27,57,0.5178266178266179,0.2912194185636897
Harriet Scott,hasSex,Female,75,80,0.8666666666666667,0.0,25,100,0.5777777777777778,0.335175743327926
Harriet Scott,hasSurname,Scott,83,87,0.9047619047619048,0.0,21,100,0.5620689655172414,0.6348087971775132
Harriet Scott,instance of,Person,36,37,0.5774410774410774,0.0,21,100,0.5841269841269842,0.5023287782256718
