TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Henry Highland Garnet,hasDescription,"Enslaved. Free before 13th Amendment. A temperance and antislavery activist who lectured in the U.S. and Great Britain. Also a university president, the first African American to preach a sermon in the White House, and U.S. minister to Liberia.",58,60,0.6870525988173046,0.0,45,55,0.694922767704,0.1244230399988336
Henry Highland Garnet,hasDescriptiveOccupation,Abolitionist,63,65,0.6662267471091,0.0,25,100,0.5696969696969697,0.2596979932401624
Henry Highland Garnet,hasDescriptiveOccupation,Presbyterian Clergy,63,65,0.6662267471091,0.0,36,39,0.5917630956824685,0.0
Henry Highland Garnet,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,18,100,0.5421985815602838,0.2596979932401624
Henry Highland Garnet,hasFirstName,Henry Highland,83,86,0.9019607843137256,0.0,58,100,0.6610644257703081,0.7090528735856639
Henry Highland Garnet,hasName,Henry Highland Garnet,78,82,0.8787878787878788,0.0,76,100,0.7138188608776844,0.9266368211041917
Henry Highland Garnet,hasParticipantRole,Child,88,90,0.927536231884058,0.0,21,23,0.6341880341880342,0.0
Henry Highland Garnet,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,29,36,0.5205849037174338,0.0
Henry Highland Garnet,hasSex,Male,75,80,0.8666666666666667,0.0,19,100,0.5929951690821256,0.335175743327926
Henry Highland Garnet,hasSurname,Garnet,83,87,0.9047619047619048,0.0,30,100,0.5912698412698413,0.6348087971775132
Henry Highland Garnet,instance of,Person,36,37,0.5774410774410774,0.0,15,19,0.5796519410977242,0.0
