TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
James Collins Johnson,hasDescription,"Born Enslaved. Free before 13th Amendment. Tried in 1843 in what became known as the Princeton Fugitive Slave case, Johnson was nearly re-enslaved until a local woman intervened and bought his freedom.",58,60,0.6870525988173046,0.0,36,41,0.6304590954734985,0.0815617453332091
James Collins Johnson,hasDescriptiveOccupation,Entrepreneur,63,65,0.6662267471091,0.0,20,26,0.5653116531165311,0.0
James Collins Johnson,hasDescriptiveOccupation,Merchant,63,65,0.6662267471091,0.0,19,22,0.5065040650406504,0.0
James Collins Johnson,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,19,18,0.5373983739837399,0.0
James Collins Johnson,hasFirstName,James Collins,83,86,0.9019607843137256,0.0,51,100,0.626855600539811,0.7090528735856639
James Collins Johnson,hasName,James Collins Johnson,78,82,0.8787878787878788,0.0,54,76,0.6623878536922015,0.5029292651136353
James Collins Johnson,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,16,24,0.5596491228070176,0.0
James Collins Johnson,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,30,32,0.5560510768057938,0.0
James Collins Johnson,hasSex,Male,75,80,0.8666666666666667,0.0,19,100,0.5032520325203252,0.335175743327926
James Collins Johnson,hasSurname,Johnson,83,87,0.9047619047619048,0.0,24,22,0.6021303258145364,0.0
James Collins Johnson,instance of,Person,36,37,0.5618686868686869,0.0,23,17,0.5818713450292398,0.0
